"mrp_id","billno","materialplanid_number","materialplanid_name","materialattr_title","adviseorderqty","bizorderqty","advisestartdate","adviseenddate","startdate","enddate","orderdate","availabledate","closestatus_title","dropbilltype_name","droptime","rootdemandbillno","planoperatenum","createtime","creator_name","status","closestatus_reason"
MRP00016,MRP-202604-0016,PART-PROP-1755-CF,"1755碳纤维螺旋桨",外购,1560,1482,"2026-04-05","2026-04-16","2026-04-05","2026-04-26","2026-04-03","2026-04-28",滚动计划,采购申请,"2026-04-06",MDS-202604-001,MRP-RUN-202604-05,"2026-03-27 00:00:00",PMC-系统,Active,""
MRP00017,MRP-202604-0017,PART-CABLE-ESC-HD,加强型电调线,外购,1560,1482,"2026-04-05","2026-04-16","2026-04-06","2026-04-26","2026-04-02","2026-04-28",正常,采购申请,"2026-04-06",MDS-202604-001,MRP-RUN-202604-05,"2026-03-26 00:00:00",S&OP-平台,Active,""
MRP00018,MRP-202604-0018,RAW-LIPO-CELL,锂聚合物电芯,外购,624,593,"2026-04-05","2026-04-18","2026-04-06","2026-04-22","2026-04-03","2026-04-22",已下发,采购申请,"2026-04-06",MDS-202604-001,MRP-RUN-202604-03,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00019,MRP-202604-0019,PART-MCU-STM32H753,STM32H753双核芯片,外购,260,281,"2026-04-05","2026-04-18","2026-04-06","2026-04-24","2026-04-01","2026-04-26",已关闭,采购申请,"2026-04-10",MDS-202604-001,MRP-RUN-202604-08,"2026-03-25 10:00:00",PMC-系统,Closed,""
MRP00020,MRP-202604-0020,PART-PCB-FC-8L,"8层飞控PCB板",外购,260,260,"2026-04-06","2026-04-20","2026-04-07","2026-04-20","2026-04-01","2026-04-24",滚动计划,采购申请,"2026-04-08",MDS-202604-001,MRP-RUN-202604-01,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00021,MRP-202604-0021,PART-FPGA-ICE40,ICE40 FPGA,外购,260,247,"2026-04-05","2026-04-20","2026-04-06","2026-04-22","2026-04-03","2026-04-28",正常,采购申请,"2026-04-04",MDS-202604-001,MRP-RUN-202604-03,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00022,MRP-202604-0022,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,外购,1040,988,"2026-04-05","2026-04-16","2026-04-06","2026-04-20","2026-04-02","2026-04-28",已下发,采购申请,"2026-04-06",MDS-202604-001,MRP-RUN-202604-02,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00023,MRP-202604-0023,RAW-NEODYMIUM,钕铁硼磁性材料,外购,70,70,"2026-04-04","2026-04-20","2026-04-07","2026-04-24","2026-04-03","2026-04-24",已关闭,采购申请,"2026-04-06",MDS-202604-001,MRP-RUN-202604-05,"2026-03-25 10:00:00",S&OP-平台,Closed,""
MRP00024,MRP-202604-0024,RAW-COPPER-WIRE,铜漆包线,外购,234,253,"2026-04-04","2026-04-18","2026-04-06","2026-04-22","2026-04-03","2026-04-24",滚动计划,采购申请,"2026-04-06",MDS-202604-001,MRP-RUN-202604-01,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00025,MRP-202604-0025,RAW-AL-ALLOY,铝合金材料,外购,390,390,"2026-04-06","2026-04-20","2026-04-07","2026-04-20","2026-04-02","2026-04-24",正常,采购申请,"2026-04-08",MDS-202604-001,MRP-RUN-202604-07,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00026,MRP-202604-0026,RAW-SI-WAFER-12IN,"12英寸硅晶圆",外购,0,0,"2026-04-06","2026-04-18","2026-04-07","2026-04-26","2026-04-02","2026-04-28",已下发,采购申请,"2026-04-06",MDS-202604-001,MRP-RUN-202604-01,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00027,MRP-202604-0027,RAW-FR4-CCL,FR4覆铜板,外购,21,22,"2026-04-06","2026-04-18","2026-04-07","2026-04-20","2026-04-03","2026-04-24",已关闭,采购申请,"2026-04-06",MDS-202604-001,MRP-RUN-202604-06,"2026-03-25 10:00:00",计划专员-王敏,Closed,""
MRP00028,MRP-202605-0028,PART-FRAME-HEX-CF,六轴碳纤维机架,外购,460,460,"2026-05-04","2026-05-16","2026-05-07","2026-05-22","2026-05-02","2026-05-26",滚动计划,采购申请,"2026-05-04",MDS-202605-001,MRP-RUN-202605-09,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00029,MRP-202605-0029,ASSY-FC-RTK,RTK高精度飞控总成,自制,460,437,"2026-05-06","2026-05-22","2026-05-06","2026-05-26","2026-05-01","2026-05-28",正常,生产工单,"2026-05-06",MDS-202605-001,MRP-RUN-202605-02,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00030,MRP-202605-0030,PART-CAM-FPV,FPV图传相机,外购,460,497,"2026-05-05","2026-05-20","2026-05-07","2026-05-22","2026-05-01","2026-05-28",已下发,采购申请,"2026-05-04",MDS-202605-001,MRP-RUN-202605-04,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00031,MRP-202605-0031,ASSY-PWR-TQ,高扭矩动力系统总成,自制,460,460,"2026-05-04","2026-05-16","2026-05-05","2026-05-24","2026-05-02","2026-05-24",已关闭,生产工单,"2026-05-08",MDS-202605-001,MRP-RUN-202605-04,"2026-03-25 10:00:00",PMC-系统,Closed,需求取消
MRP00032,MRP-202605-0032,PART-BAT-12S-16000,"12S16000mAh工业电池",外购,920,920,"2026-05-04","2026-05-18","2026-05-05","2026-05-26","2026-05-03","2026-05-28",滚动计划,采购申请,"2026-05-06",MDS-202605-001,MRP-RUN-202605-07,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00033,MRP-202605-0033,PART-RC-IND,工业遥控器,外购,460,460,"2026-05-05","2026-05-20","2026-05-05","2026-05-24","2026-05-01","2026-05-26",正常,采购申请,"2026-05-08",MDS-202605-001,MRP-RUN-202605-07,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00034,MRP-202605-0034,PART-SPRAYER-20L,"20升智能喷洒系统",外购,460,497,"2026-05-06","2026-05-18","2026-05-07","2026-05-20","2026-05-01","2026-05-28",已下发,采购申请,"2026-05-08",MDS-202605-001,MRP-RUN-202605-08,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00035,MRP-202605-0035,PART-RADAR-ALT,雷达测高仪,外购,460,437,"2026-05-04","2026-05-16","2026-05-05","2026-05-26","2026-05-03","2026-05-28",已关闭,采购申请,"2026-05-10",MDS-202605-001,MRP-RUN-202605-03,"2026-03-25 10:00:00",S&OP-平台,Closed,""
MRP00036,MRP-202605-0036,COMP-FC-PCB-R1,RTK飞控主板,自制,460,460,"2026-05-05","2026-05-20","2026-05-05","2026-05-22","2026-05-01","2026-05-26",滚动计划,生产工单,"2026-05-10",MDS-202605-001,MRP-RUN-202605-07,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00037,MRP-202605-0037,PART-IMU-ADIS16505,ADIS16505工业级IMU,外购,460,460,"2026-05-04","2026-05-22","2026-05-07","2026-05-26","2026-05-03","2026-05-28",正常,采购申请,"2026-05-10",MDS-202605-001,MRP-RUN-202605-08,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00038,MRP-202605-0038,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,外购,460,437,"2026-05-06","2026-05-22","2026-05-07","2026-05-24","2026-05-01","2026-05-26",已下发,采购申请,"2026-05-08",MDS-202605-001,MRP-RUN-202605-04,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00039,MRP-202605-0039,PART-4G-MODULE,"4G通信模块",外购,460,437,"2026-05-05","2026-05-22","2026-05-06","2026-05-24","2026-05-03","2026-05-24",已关闭,采购申请,"2026-05-06",MDS-202605-001,MRP-RUN-202605-01,"2026-03-25 10:00:00",计划专员-王敏,Closed,""
MRP00040,MRP-202605-0040,COMP-FC-CASE-AL-IND,工业级铝合金外壳,自制,460,460,"2026-05-04","2026-05-22","2026-05-07","2026-05-26","2026-05-01","2026-05-26",滚动计划,生产工单,"2026-05-06",MDS-202605-001,MRP-RUN-202605-08,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00041,MRP-202605-0041,PART-MOTOR-4114-400KV,"4114 400KV高扭矩电机",外购,2760,2622,"2026-05-05","2026-05-20","2026-05-07","2026-05-26","2026-05-01","2026-05-28",正常,采购申请,"2026-05-10",MDS-202605-001,MRP-RUN-202605-04,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00042,MRP-202605-0042,PART-ESC-50A-FOC,"50A FOC电调",外购,2760,2760,"2026-05-04","2026-05-18","2026-05-06","2026-05-20","2026-05-03","2026-05-22",已下发,采购申请,"2026-05-08",MDS-202605-001,MRP-RUN-202605-02,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00043,MRP-202605-0043,PART-PROP-1755-CF,"1755碳纤维螺旋桨",外购,2760,2622,"2026-05-04","2026-05-22","2026-05-05","2026-05-24","2026-05-03","2026-05-28",已关闭,采购申请,"2026-05-06",MDS-202605-001,MRP-RUN-202605-02,"2026-03-25 10:00:00",PMC-系统,Closed,""
MRP00044,MRP-202605-0044,PART-CABLE-ESC-HD,加强型电调线,外购,2760,2622,"2026-05-05","2026-05-20","2026-05-06","2026-05-20","2026-05-01","2026-05-28",滚动计划,采购申请,"2026-05-10",MDS-202605-001,MRP-RUN-202605-04,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00045,MRP-202605-0045,RAW-LIPO-CELL,锂聚合物电芯,外购,1104,1104,"2026-05-06","2026-05-16","2026-05-06","2026-05-24","2026-05-02","2026-05-26",正常,采购申请,"2026-05-06",MDS-202605-001,MRP-RUN-202605-02,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00046,MRP-202605-0046,PART-MCU-STM32H753,STM32H753双核芯片,外购,460,437,"2026-05-04","2026-05-20","2026-05-07","2026-05-22","2026-05-03","2026-05-24",已下发,采购申请,"2026-05-08",MDS-202605-001,MRP-RUN-202605-02,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00047,MRP-202605-0047,PART-PCB-FC-8L,"8层飞控PCB板",外购,460,437,"2026-05-06","2026-05-22","2026-05-07","2026-05-22","2026-05-01","2026-05-28",已关闭,采购申请,"2026-05-04",MDS-202605-001,MRP-RUN-202605-05,"2026-03-25 10:00:00",S&OP-平台,Closed,""
MRP00048,MRP-202605-0048,PART-FPGA-ICE40,ICE40 FPGA,外购,460,437,"2026-05-04","2026-05-18","2026-05-05","2026-05-22","2026-05-02","2026-05-24",滚动计划,采购申请,"2026-05-08",MDS-202605-001,MRP-RUN-202605-04,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00049,MRP-202605-0049,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,外购,1840,1748,"2026-05-04","2026-05-22","2026-05-06","2026-05-24","2026-05-02","2026-05-24",正常,采购申请,"2026-05-06",MDS-202605-001,MRP-RUN-202605-02,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00050,MRP-202605-0050,RAW-NEODYMIUM,钕铁硼磁性材料,外购,124,118,"2026-05-06","2026-05-20","2026-05-07","2026-05-24","2026-05-01","2026-05-24",已下发,采购申请,"2026-05-10",MDS-202605-001,MRP-RUN-202605-02,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00051,MRP-202605-0051,RAW-COPPER-WIRE,铜漆包线,外购,414,414,"2026-05-05","2026-05-20","2026-05-06","2026-05-20","2026-05-02","2026-05-26",已关闭,采购申请,"2026-05-08",MDS-202605-001,MRP-RUN-202605-04,"2026-03-25 10:00:00",计划专员-王敏,Closed,""
MRP00052,MRP-202605-0052,RAW-AL-ALLOY,铝合金材料,外购,690,690,"2026-05-05","2026-05-20","2026-05-06","2026-05-22","2026-05-01","2026-05-22",滚动计划,采购申请,"2026-05-10",MDS-202605-001,MRP-RUN-202605-02,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00053,MRP-202605-0053,RAW-SI-WAFER-12IN,"12英寸硅晶圆",外购,0,0,"2026-05-06","2026-05-18","2026-05-07","2026-05-22","2026-05-03","2026-05-28",正常,采购申请,"2026-05-06",MDS-202605-001,MRP-RUN-202605-04,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00054,MRP-202605-0054,RAW-FR4-CCL,FR4覆铜板,外购,37,40,"2026-05-06","2026-05-18","2026-05-06","2026-05-26","2026-05-03","2026-05-26",已下发,采购申请,"2026-05-04",MDS-202605-001,MRP-RUN-202605-01,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00055,MRP-202604-0055,PART-FRAME-HEX-CF-HD,六轴重载碳纤维机架,外购,260,260,"2026-04-05","2026-04-16","2026-04-05","2026-04-22","2026-04-02","2026-04-28",已关闭,采购申请,"2026-04-04",MDS-202604-002,MRP-RUN-202604-01,"2026-03-25 10:00:00",PMC-系统,Closed,""
MRP00056,MRP-202604-0056,ASSY-FC-RTK,RTK高精度飞控总成,自制,260,247,"2026-04-05","2026-04-20","2026-04-05","2026-04-24","2026-04-03","2026-04-26",滚动计划,生产工单,"2026-04-10",MDS-202604-002,MRP-RUN-202604-04,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00057,MRP-202604-0057,PART-CAM-FPV,FPV图传相机,外购,260,281,"2026-04-06","2026-04-18","2026-04-06","2026-04-24","2026-04-01","2026-04-24",正常,采购申请,"2026-04-08",MDS-202604-002,MRP-RUN-202604-06,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00058,MRP-202604-0058,PART-MOTOR-5010-PRO,"5010重载无刷电机",外购,1560,1482,"2026-04-06","2026-04-16","2026-04-07","2026-04-24","2026-04-02","2026-04-26",已下发,采购申请,"2026-04-08",MDS-202604-002,MRP-RUN-202604-05,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00059,MRP-202604-0059,PART-ESC-60A,"60A电调",外购,1560,1685,"2026-04-04","2026-04-18","2026-04-05","2026-04-24","2026-04-03","2026-04-28",已关闭,采购申请,"2026-04-06",MDS-202604-002,MRP-RUN-202604-08,"2026-03-25 10:00:00",S&OP-平台,Closed,""
MRP00060,MRP-202604-0060,PART-PROP-3016-CF,"3016碳纤螺旋桨",外购,1560,1560,"2026-04-04","2026-04-16","2026-04-05","2026-04-22","2026-04-02","2026-04-22",滚动计划,采购申请,"2026-04-08",MDS-202604-002,MRP-RUN-202604-07,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00061,MRP-202604-0061,PART-BAT-12S-22000,"12S22000mAh重载电池",外购,520,494,"2026-04-06","2026-04-20","2026-04-07","2026-04-26","2026-04-03","2026-04-28",正常,采购申请,"2026-04-04",MDS-202604-002,MRP-RUN-202604-01,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00062,MRP-202604-0062,PART-RC-IND,工业遥控器,外购,260,281,"2026-04-05","2026-04-16","2026-04-06","2026-04-20","2026-04-03","2026-04-28",已下发,采购申请,"2026-04-10",MDS-202604-002,MRP-RUN-202604-08,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00063,MRP-202604-0063,PART-SPRAYER-30L,"30升智能喷洒系统",外购,260,260,"2026-04-04","2026-04-16","2026-04-06","2026-04-24","2026-04-03","2026-04-26",已关闭,采购申请,"2026-04-08",MDS-202604-002,MRP-RUN-202604-05,"2026-03-25 10:00:00",计划专员-王敏,Closed,""
MRP00064,MRP-202604-0064,PART-RADAR-ALT,雷达测高仪,外购,260,281,"2026-04-06","2026-04-16","2026-04-07","2026-04-26","2026-04-03","2026-04-28",滚动计划,采购申请,"2026-04-10",MDS-202604-002,MRP-RUN-202604-02,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00065,MRP-202604-0065,COMP-FC-PCB-R1,RTK飞控主板,自制,260,281,"2026-04-06","2026-04-20","2026-04-07","2026-04-20","2026-04-03","2026-04-28",正常,生产工单,"2026-04-06",MDS-202604-002,MRP-RUN-202604-02,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00066,MRP-202604-0066,PART-IMU-ADIS16505,ADIS16505工业级IMU,外购,260,247,"2026-04-04","2026-04-20","2026-04-06","2026-04-20","2026-04-01","2026-04-22",已下发,采购申请,"2026-04-08",MDS-202604-002,MRP-RUN-202604-07,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00067,MRP-202604-0067,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,外购,260,260,"2026-04-06","2026-04-22","2026-04-06","2026-04-24","2026-04-02","2026-04-26",已关闭,采购申请,"2026-04-10",MDS-202604-002,MRP-RUN-202604-01,"2026-03-25 10:00:00",PMC-系统,Closed,拆分关闭-分单后关闭
MRP00068,MRP-202604-0068,PART-4G-MODULE,"4G通信模块",外购,260,260,"2026-04-05","2026-04-18","2026-04-06","2026-04-22","2026-04-03","2026-04-24",滚动计划,采购申请,"2026-04-04",MDS-202604-002,MRP-RUN-202604-08,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00069,MRP-202604-0069,COMP-FC-CASE-AL-IND,工业级铝合金外壳,自制,260,247,"2026-04-04","2026-04-22","2026-04-06","2026-04-24","2026-04-02","2026-04-26",正常,生产工单,"2026-04-08",MDS-202604-002,MRP-RUN-202604-07,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00070,MRP-202604-0070,RAW-LIPO-CELL,锂聚合物电芯,外购,936,1011,"2026-04-06","2026-04-18","2026-04-06","2026-04-22","2026-04-03","2026-04-22",已下发,采购申请,"2026-04-06",MDS-202604-002,MRP-RUN-202604-08,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00071,MRP-202604-0071,PART-MCU-STM32H753,STM32H753双核芯片,外购,260,281,"2026-04-06","2026-04-20","2026-04-07","2026-04-24","2026-04-01","2026-04-24",已关闭,采购申请,"2026-04-04",MDS-202604-002,MRP-RUN-202604-03,"2026-03-25 10:00:00",S&OP-平台,Closed,需求取消
MRP00072,MRP-202604-0072,PART-PCB-FC-8L,"8层飞控PCB板",外购,260,247,"2026-04-04","2026-04-18","2026-04-06","2026-04-24","2026-04-02","2026-04-26",滚动计划,采购申请,"2026-04-04",MDS-202604-002,MRP-RUN-202604-05,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00073,MRP-202604-0073,PART-FPGA-ICE40,ICE40 FPGA,外购,260,260,"2026-04-06","2026-04-18","2026-04-07","2026-04-22","2026-04-03","2026-04-22",正常,采购申请,"2026-04-08",MDS-202604-002,MRP-RUN-202604-02,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00074,MRP-202604-0074,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,外购,1040,988,"2026-04-06","2026-04-18","2026-04-06","2026-04-26","2026-04-02","2026-04-28",已下发,采购申请,"2026-04-06",MDS-202604-002,MRP-RUN-202604-06,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00075,MRP-202604-0075,RAW-SI-WAFER-12IN,"12英寸硅晶圆",外购,0,0,"2026-04-04","2026-04-20","2026-04-07","2026-04-22","2026-04-01","2026-04-24",已关闭,采购申请,"2026-04-10",MDS-202604-002,MRP-RUN-202604-09,"2026-03-25 10:00:00",计划专员-王敏,Closed,""
MRP00076,MRP-202604-0076,RAW-FR4-CCL,FR4覆铜板,外购,21,22,"2026-04-05","2026-04-22","2026-04-06","2026-04-24","2026-04-01","2026-04-26",滚动计划,采购申请,"2026-04-08",MDS-202604-002,MRP-RUN-202604-05,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00077,MRP-202605-0077,PART-FRAME-HEX-CF-HD,六轴重载碳纤维机架,外购,600,600,"2026-05-04","2026-05-18","2026-05-05","2026-05-22","2026-05-02","2026-05-24",正常,采购申请,"2026-05-10",MDS-202605-002,MRP-RUN-202605-08,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00078,MRP-202605-0078,ASSY-FC-RTK,RTK高精度飞控总成,自制,600,648,"2026-05-05","2026-05-18","2026-05-06","2026-05-26","2026-05-03","2026-05-26",已下发,生产工单,"2026-05-04",MDS-202605-002,MRP-RUN-202605-05,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00079,MRP-202605-0079,PART-CAM-FPV,FPV图传相机,外购,600,600,"2026-05-05","2026-05-20","2026-05-06","2026-05-26","2026-05-02","2026-05-28",已关闭,采购申请,"2026-05-10",MDS-202605-002,MRP-RUN-202605-01,"2026-03-25 10:00:00",PMC-系统,Closed,投放关闭-已下单
MRP00080,MRP-202605-0080,PART-MOTOR-5010-PRO,"5010重载无刷电机",外购,3600,3420,"2026-05-04","2026-05-20","2026-05-06","2026-05-20","2026-05-03","2026-05-24",滚动计划,采购申请,"2026-05-08",MDS-202605-002,MRP-RUN-202605-03,"2026-03-25 10:00:00",S&OP-平台,Active,""
MRP00081,MRP-202605-0081,PART-ESC-60A,"60A电调",外购,3600,3888,"2026-05-05","2026-05-18","2026-05-07","2026-05-20","2026-05-03","2026-05-28",正常,采购申请,"2026-05-10",MDS-202605-002,MRP-RUN-202605-04,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00082,MRP-202605-0082,PART-PROP-3016-CF,"3016碳纤螺旋桨",外购,3600,3600,"2026-05-04","2026-05-22","2026-05-06","2026-05-22","2026-05-03","2026-05-28",已下发,采购申请,"2026-05-04",MDS-202605-002,MRP-RUN-202605-03,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00083,MRP-202605-0083,PART-BAT-12S-22000,"12S22000mAh重载电池",外购,1200,1200,"2026-05-05","2026-05-22","2026-05-06","2026-05-26","2026-05-02","2026-05-28",已关闭,采购申请,"2026-05-04",MDS-202605-002,MRP-RUN-202605-01,"2026-03-25 10:00:00",S&OP-平台,Closed,拆分关闭-分单后关闭
MRP00084,MRP-202605-0084,PART-RC-IND,工业遥控器,外购,600,600,"2026-05-05","2026-05-20","2026-05-06","2026-05-24","2026-05-03","2026-05-26",滚动计划,采购申请,"2026-05-10",MDS-202605-002,MRP-RUN-202605-07,"2026-03-25 10:00:00",计划专员-王敏,Active,""
MRP00085,MRP-202605-0085,PART-SPRAYER-30L,"30升智能喷洒系统",外购,600,570,"2026-05-05","2026-05-20","2026-05-05","2026-05-20","2026-05-01","2026-05-28",正常,采购申请,"2026-05-04",MDS-202605-002,MRP-RUN-202605-07,"2026-03-25 10:00:00",PMC-系统,Active,""
MRP00086,MRP-202605-0086,PART-RADAR-ALT,雷达测高仪,外购,600,648,"2026-05-06","2026-05-22","2026-05-07","2026-05-22","2026-05-03","2026-05-22",已下发,采购申请,"2026-05-10",MDS-202605-002,MRP-RUN-202605-03,"2026-03-25 10:00:00",S&OP-平台,Active,""
