"shipment_id","shipment_number","shipment_date","warehouse_id","warehouse_name","quantity","consignee","consignee_phone","delivery_address","logistics_provider","tracking_number","actual_delivery_date","delivery_status","sales_order_number","notes","created_date","status","customer_id"
SH0000012,SH-202305-0012,"2025-05-03",WH001,深圳天翼中央成品仓库,50.0,哈尔滨电子科技经销有限公司,"13601259650",湖北省襄阳市,中通快递,SF20230503300750,"",运输中,SO-202303-00401,干线中转中,"2025-05-03",InTransit,"10063"
SH0000013,SH-202305-0013,"2025-05-11",WH001,深圳天翼中央成品仓库,15.0,青岛建模工程股份有限公司,"18524057140",江苏省南京市,百世快递,SF20230511328668,"",运输中,SO-202303-00142,客户预约收货,"2025-05-11",InTransit,"10023"
SH0000014,SH-202305-0014,"2025-05-15",WH001,深圳天翼中央成品仓库,4.0,大连农兴植保有限公司,"13819401855",浙江省宁波市,德邦物流,SF20230515537031,"2025-05-18",已签收,SO-202303-00565,项目现场签收,"2025-05-15",Closed,"10094"
SH0000015,SH-202305-0015,"2025-05-16",WH001,深圳天翼中央成品仓库,42.0,杭州光影时代影像工作室,"13829008263",福建省厦门市,百世快递,SF20230516419237,"",运输中,SO-202303-00001,收货窗口待确认,"2025-05-16",InTransit,"10001"
SH0000016,SH-202305-0016,"2025-05-11",WH001,深圳天翼中央成品仓库,27.0,北京航空航天大学机械学院实验室,"18613503486",福建省福州市,圆通速递,SF20230511492818,"2025-05-17",已签收,SO-202403-00213,客户验收通过,"2025-05-11",Closed,"10033"
SH0000017,SH-202305-0017,"2025-05-02",WH001,深圳天翼中央成品仓库,5.0,哈尔滨天图空间信息工程有限公司,"13624403511",上海市上海市,中通快递,SF20230502109584,"",已发货,SO-202304-00461,分批发货-首批,"2025-05-02",Active,"10075"
SH0000018,SH-202305-0018,"2025-05-09",WH001,深圳天翼中央成品仓库,3.0,厦门新能源风电技术有限公司,"18639607173",湖南省长沙市,申通快递,SF20230509428541,"2025-05-13",已签收,SO-202403-00015,项目现场签收,"2025-05-09",Closed,"10003"
SH0000020,SH-202305-0020,"2025-05-02",WH001,深圳天翼中央成品仓库,17.0,北京环境水务科技有限公司,"13850565834",湖北省武汉市,申通快递,SF20230502895165,"",已发货,SO-202304-00051,仓库已出库待揽收,"2025-05-02",Active,"10008"
SH0000021,SH-202305-0021,"2025-05-01",WH001,深圳天翼中央成品仓库,26.0,青岛精测地理信息服务有限公司,"18607011007",四川省绵阳市,顺丰速运,SF20230501616547,"",运输中,SO-202403-00556,客户预约收货,"2025-05-01",InTransit,"10093"
SH0000022,SH-202305-0022,"2025-05-04",WH001,深圳天翼中央成品仓库,27.0,青岛沃土植保有限公司,"13866891322",湖南省株洲市,中通快递,SF20230504833681,"2025-05-10",已签收,SO-202303-00181,项目现场签收,"2025-05-04",Closed,"10028"
SH0000023,SH-202305-0023,"2025-05-21",WH001,深圳天翼中央成品仓库,34.0,青岛物流通配送集团有限公司,"13822731290",山东省烟台市,顺丰速运,SF20230521290548,"2025-05-26",已签收,SO-202403-00088,需加急,"2025-05-21",Closed,"10015"
SH0000024,SH-202305-0024,"2025-05-27",WH001,深圳天翼中央成品仓库,34.0,广州绿野农技技术有限公司,"13933667797",北京市北京市,京东物流,SF20230527663540,"2025-05-30",已签收,SO-202305-00027,客户要求提前,"2025-05-27",Closed,"10005"
SH0000025,SH-202305-0025,"2025-05-08",WH001,深圳天翼中央成品仓库,26.0,苏州光线文化工作室,"13680118157",重庆市重庆市,京东物流,SF20230508432423,"",运输中,SO-202303-00194,客户预约收货,"2025-05-08",InTransit,"10030"
SH0000026,SH-202305-0026,"2025-05-09",WH001,深圳天翼中央成品仓库,7.0,哈尔滨天图测量科技有限公司,"18067440042",浙江省绍兴市,德邦物流,SF20230509243466,"",已发货,SO-202403-00409,待客户签收回单,"2025-05-09",Active,"10066"
SH0000027,SH-202305-0027,"2025-05-24",WH001,深圳天翼中央成品仓库,17.0,天津安邦安防服务有限公司,"13553180424",上海市上海市,顺丰速运,SF20230524186106,"",已发货,SO-202404-00115,司机派送中,"2025-05-24",Active,"10020"
SH0000028,SH-202305-0028,"2025-05-14",WH001,深圳天翼中央成品仓库,15.0,厦门绿源农科技术有限公司,"13847112043",重庆市重庆市,韵达快递,SF20230514923019,"2025-05-18",已签收,SO-202304-00375,客户验收通过,"2025-05-14",Closed,"10060"
SH0000029,SH-202305-0029,"2025-05-22",WH001,深圳天翼中央成品仓库,7.0,杭州大地农资有限公司,"18021179321",上海市上海市,德邦物流,SF20230522429076,"",已发货,SO-202403-00103,分批发货-首批,"2025-05-22",Active,"10018"
SH0000030,SH-202305-0030,"2025-05-18",WH001,深圳天翼中央成品仓库,8.0,济南景区管理旅游集团有限公司,"18861297473",上海市上海市,申通快递,SF20230518838690,"2025-05-22",已签收,SO-202404-00524,项目现场签收,"2025-05-18",Closed,"10086"
SH0000031,SH-202305-0031,"2025-05-08",WH001,深圳天翼中央成品仓库,41.0,深圳影像空间文化文化传播有限公司,"18529534365",山东省青岛市,德邦物流,SF20230508976603,"",运输中,SO-202403-00325,收货窗口待确认,"2025-05-08",InTransit,"10053"
SH0000032,SH-202305-0032,"2025-05-10",WH001,深圳天翼中央成品仓库,24.0,济南工建工程测量技术有限公司,"18070107302",重庆市重庆市,圆通速递,SF20230510613276,"",运输中,SO-202304-00122,干线中转中,"2025-05-10",InTransit,"10020"
SH0000033,SH-202305-0033,"2025-05-21",WH001,深圳天翼中央成品仓库,14.0,哈尔滨电子科技经销有限公司,"18868543770",湖北省襄阳市,申通快递,SF20230521239924,"2025-05-27",已签收,SO-202404-00013,正常签收,"2025-05-21",Closed,"10003"
SH0000034,SH-202305-0034,"2025-05-27",WH001,深圳天翼中央成品仓库,19.0,天津光影工场广告文化传播有限公司,"18870700031",重庆市重庆市,百世快递,SF20230527201584,"2025-05-30",已签收,SO-202304-00220,项目现场签收,"2025-05-27",Closed,"10034"
SH0000035,SH-202305-0035,"2025-05-01",WH001,深圳天翼中央成品仓库,33.0,南京测控测绘科技有限公司,"18675645904",江苏省无锡市,百世快递,SF20230501698820,"2025-05-07",已签收,SO-202303-00187,整批签收完成,"2025-05-01",Closed,"10029"
SH0000037,SH-202305-0037,"2025-05-23",WH001,深圳天翼中央成品仓库,1.0,深圳安信安全服务有限公司,"13927736637",重庆市重庆市,百世快递,SF20230523597765,"2025-05-27",已签收,SO-202305-00547,正常签收,"2025-05-23",Closed,"10091"
SH0000038,SH-202305-0038,"2025-05-01",WH001,深圳天翼中央成品仓库,31.0,青岛物流通货运服务有限公司,"13574038130",黑龙江省哈尔滨市,圆通速递,SF20230501395403,"2025-05-03",已签收,SO-202304-00062,项目现场签收,"2025-05-01",Closed,"10011"
SH0000040,SH-202305-0040,"2025-05-02",WH001,深圳天翼中央成品仓库,53.0,上海绿野农业服务有限公司,"18836090967",江苏省苏州市,圆通速递,SF20230502581853,"2025-05-06",已签收,SO-202303-00557,客户验收通过,"2025-05-02",Closed,"10093"
SH0000041,SH-202305-0041,"2025-05-03",WH001,深圳天翼中央成品仓库,5.0,深圳阳光保险财产保险有限公司,"18026556543",广东省深圳市,中通快递,SF20230503217331,"",运输中,SO-202304-00188,客户预约收货,"2025-05-03",InTransit,"10029"
SH0000042,SH-202305-0042,"2025-05-28",WH001,深圳天翼中央成品仓库,31.0,青岛空地测量有限公司,"13897526649",湖北省宜昌市,京东物流,SF20230528979906,"",运输中,SO-202304-00170,末端配送延迟,"2025-05-28",InTransit,"10026"
SH0000043,SH-202305-0043,"2025-05-04",WH001,深圳天翼中央成品仓库,29.0,青岛田园农科有限公司,"18836204351",辽宁省沈阳市,顺丰速运,SF20230504395882,"2025-05-10",已签收,SO-202403-00120,整批签收完成,"2025-05-04",Closed,"10020"
SH0000044,SH-202305-0044,"2025-05-04",WH001,深圳天翼中央成品仓库,40.0,沈阳智电新能源股份有限公司,"18860530505",陕西省西安市,顺丰速运,SF20230504730145,"2025-05-09",已签收,SO-202403-00079,客户验收通过,"2025-05-04",Closed,"10015"
SH0000045,SH-202305-0045,"2025-05-01",WH001,深圳天翼中央成品仓库,25.0,厦门绿洲农资科技有限公司,"18099714075",北京市北京市,申通快递,SF20230501813993,"",运输中,SO-202303-00165,客户预约收货,"2025-05-01",InTransit,"10025"
SH0000046,SH-202305-0046,"2025-05-13",WH001,深圳天翼中央成品仓库,4.0,大连农兴植保有限公司,"13560045659",浙江省宁波市,顺丰速运,SF20230513685962,"2025-05-18",已签收,SO-202403-00239,项目现场签收,"2025-05-13",Closed,"10037"
SH0000047,SH-202305-0047,"2025-05-25",WH001,深圳天翼中央成品仓库,23.0,青岛环保环保工程有限公司,"18058469422",上海市上海市,百世快递,SF20230525366306,"",已发货,SO-202304-00570,司机派送中,"2025-05-25",Active,"10095"
SH0000048,SH-202305-0048,"2025-05-23",WH001,深圳天翼中央成品仓库,3.0,武汉顺丰配送服务有限公司,"18509175949",广东省广州市,德邦物流,SF20230523938551,"2025-05-29",已签收,SO-202304-00256,按时送达,"2025-05-23",Closed,"10040"
SH0000049,SH-202305-0049,"2025-05-15",WH001,深圳天翼中央成品仓库,3.0,南京安防警用装备科技有限公司,"18542340544",陕西省咸阳市,京东物流,SF20230515236053,"2025-05-21",已签收,SO-202304-00320,正常签收,"2025-05-15",Closed,"10051"
SH0000050,SH-202305-0050,"2025-05-12",WH001,深圳天翼中央成品仓库,21.0,郑州绿洲农服技术有限公司,"13684806693",重庆市重庆市,中通快递,SF20230512754893,"2025-05-14",已签收,SO-202403-00224,项目现场签收,"2025-05-12",Closed,"10034"
SH0000051,SH-202305-0051,"2025-05-02",WH001,深圳天翼中央成品仓库,25.0,中国林业科学院机械学院实验室,"13669920745",河南省洛阳市,申通快递,SF20230502651692,"",运输中,SO-202303-00087,收货窗口待确认,"2025-05-02",InTransit,"10015"
SH0000052,SH-202305-0052,"2025-05-21",WH001,深圳天翼中央成品仓库,29.0,沈阳测量地理信息科技有限公司,"18551921487",山东省青岛市,京东物流,SF20230521499508,"2025-05-28",已签收,SO-202403-00116,客户验收通过,"2025-05-21",Closed,"10020"
SH0000054,SH-202305-0054,"2025-05-20",WH001,深圳天翼中央成品仓库,53.0,长沙申通配送科技有限公司,"13652424174",江苏省无锡市,韵达快递,SF20230520701210,"2025-05-25",已签收,SO-202403-00330,项目现场签收,"2025-05-20",Closed,"10053"
SH0000055,SH-202305-0055,"2025-05-12",WH001,深圳天翼中央成品仓库,31.0,沈阳测量地理信息科技有限公司,"18096246474",山东省青岛市,京东物流,SF20230512966771,"2025-05-15",已签收,SO-202403-00203,整批签收完成,"2025-05-12",Closed,"10032"
SH0000056,SH-202305-0056,"2025-05-20",WH001,深圳天翼中央成品仓库,4.0,沈阳测量地理信息科技有限公司,"13578572363",山东省青岛市,德邦物流,SF20230520738322,"2025-05-27",已签收,SO-202305-00101,客户验收通过,"2025-05-20",Closed,"10018"
SH0000057,SH-202305-0057,"2025-05-15",WH001,深圳天翼中央成品仓库,4.0,上海建设工程测量集团有限公司,"13545404933",湖北省襄阳市,顺丰速运,SF20230515324554,"",已发货,SO-202304-00236,分批发货-首批,"2025-05-15",Active,"10036"
SH0000058,SH-202305-0058,"2025-05-13",WH001,深圳天翼中央成品仓库,3.0,青岛建模工程股份有限公司,"18045313709",江苏省南京市,京东物流,SF20230513506497,"2025-05-18",已签收,SO-202403-00152,项目现场签收,"2025-05-13",Closed,"10024"
SH0000059,SH-202305-0059,"2025-05-04",WH001,深圳天翼中央成品仓库,12.0,哈尔滨电子科技经销有限公司,"13547677010",湖北省襄阳市,中通快递,SF20230504174894,"2025-05-09",已签收,SO-202303-00119,整批签收完成,"2025-05-04",Closed,"10020"
SH0000060,SH-202305-0060,"2025-05-18",WH001,深圳天翼中央成品仓库,4.0,武汉守护安全技术有限公司,"18630146646",辽宁省大连市,韵达快递,SF20230518511898,"",已发货,SO-202404-00173,仓库已出库待揽收,"2025-05-18",Active,"10027"
SH0000061,SH-202305-0061,"2025-05-13",WH001,深圳天翼中央成品仓库,42.0,哈尔滨电子电子经销有限公司,"18638499981",福建省厦门市,申通快递,SF20230513542870,"2025-05-17",已签收,SO-202404-00060,正常签收,"2025-05-13",Closed,"10011"
SH0000062,SH-202305-0062,"2025-05-07",WH001,深圳天翼中央成品仓库,24.0,西安影像空间影像传媒有限公司,"18093922906",四川省成都市,京东物流,SF20230507250326,"",运输中,SO-202303-00052,末端配送延迟,"2025-05-07",InTransit,"10008"
SH0000063,SH-202305-0063,"2025-05-18",WH001,深圳天翼中央成品仓库,31.0,西安京东货运有限公司,"18844742179",湖南省长沙市,京东物流,SF20230518654403,"",运输中,SO-202303-00080,收货窗口待确认,"2025-05-18",InTransit,"10015"
SH0000064,SH-202305-0064,"2025-05-23",WH001,深圳天翼中央成品仓库,5.0,长沙绿地农服技术有限公司,"13533988217",福建省厦门市,京东物流,SF20230523815888,"",运输中,SO-202404-00235,干线中转中,"2025-05-23",InTransit,"10035"
SH0000065,SH-202305-0065,"2025-05-09",WH001,深圳天翼中央成品仓库,45.0,青岛环保环保工程有限公司,"18007760836",上海市上海市,申通快递,SF20230509887512,"2025-05-15",已签收,SO-202303-00405,正常签收,"2025-05-09",Closed,"10065"
SH0000066,SH-202305-0066,"2025-05-17",WH001,深圳天翼中央成品仓库,35.0,深圳能控新能源集团有限公司,"18506416100",湖南省长沙市,申通快递,SF20230517515153,"2025-05-23",已签收,SO-202304-00025,项目现场签收,"2025-05-17",Closed,"10005"
SH0000067,SH-202305-0067,"2025-05-23",WH001,深圳天翼中央成品仓库,55.0,上海天地地理信息技术有限公司,"13867563780",浙江省绍兴市,中通快递,SF20230523695023,"",已发货,SO-202404-00322,司机派送中,"2025-05-23",Active,"10052"
SH0000068,SH-202305-0068,"2025-05-08",WH001,深圳天翼中央成品仓库,16.0,南京安防警用装备科技有限公司,"18821658384",陕西省咸阳市,京东物流,SF20230508839022,"",已发货,SO-202403-00035,仓库已出库待揽收,"2025-05-08",Active,"10007"
SH0000069,SH-202305-0069,"2025-05-14",WH001,深圳天翼中央成品仓库,37.0,上海申通货运科技有限公司,"18640285727",重庆市重庆市,圆通速递,SF20230514825791,"2025-05-20",已签收,SO-202403-00536,正常签收,"2025-05-14",Closed,"10088"
SH0000070,SH-202305-0070,"2025-05-20",WH001,深圳天翼中央成品仓库,17.0,杭州警翼警用装备科技有限公司,"18531499648",重庆市重庆市,京东物流,SF20230520124906,"2025-05-23",已签收,SO-202303-00234,项目现场签收,"2025-05-20",Closed,"10035"
SH0000071,SH-202305-0071,"2025-05-09",WH001,深圳天翼中央成品仓库,4.0,哈尔滨工业大学自动化学院研究所,"18578712069",江苏省南京市,韵达快递,SF20230509876051,"2025-05-11",已签收,SO-202303-00016,整批签收完成,"2025-05-09",Closed,"10004"
SH0000072,SH-202305-0072,"2025-05-06",WH001,深圳天翼中央成品仓库,22.0,大连影视通传媒传媒有限公司,"13686993571",重庆市重庆市,京东物流,SF20230506629202,"",运输中,SO-202403-00085,干线中转中,"2025-05-06",InTransit,"10015"
SH0000073,SH-202305-0073,"2025-05-04",WH001,深圳天翼中央成品仓库,12.0,北京大学电子学院研究所,"18839189863",湖南省长沙市,韵达快递,SF20230504167382,"2025-05-09",已签收,SO-202404-00021,正常签收,"2025-05-04",Closed,"10005"
SH0000074,SH-202604-0074,"2026-04-01",WH001,深圳天翼中央成品仓库,1127.0,重庆安泰安全科技有限公司,"19463512350",福建省福州市,顺丰,SF2026000074,"2026-04-03",已签收,SO-202603-90001,项目现场签收,"2026-04-01",Closed,"10116"
SH0000079,SH-202301-0079,"2025-02-15",WH001,深圳天翼中央成品仓库,2.0,郑州绿源植保技术有限公司,"17129635852",江苏省南京市,圆通速递,SF20250215388389,"2025-02-19",已签收,SO-202301-00171,"","2025-02-15",Active,"10027"
SH0000080,SH-202301-0080,"2025-02-25",WH001,深圳天翼中央成品仓库,25.0,杭州大地农资有限公司,"15126226563",上海市上海市,圆通速递,SF20250225207473,"2025-02-28",已签收,SO-202301-00207,"","2025-02-25",Active,"10033"
SH0000081,SH-202301-0081,"2025-02-23",WH001,深圳天翼中央成品仓库,5.0,青岛空地测量有限公司,"15209415691",湖北省宜昌市,中通快递,SF20250223542417,"2025-02-25",已签收,SO-202301-00248,"","2025-02-23",Active,"10038"
SH0000082,SH-202301-0082,"2026-02-05",WH001,深圳天翼中央成品仓库,2.0,沈阳空间空间信息有限公司,"19798423334",湖北省宜昌市,圆通速递,SF20260205864544,"2026-02-08",已签收,SO-202301-00262,物流调度重排,"2026-02-05",Active,"10040"
SH0000083,SH-202301-0083,"2025-03-09",WH001,深圳天翼中央成品仓库,37.0,天津图达勘测有限公司,"15784907325",广东省东莞市,中通快递,SF20250309308496,"2025-03-15",已签收,SO-202301-00311,"","2025-03-09",Active,"10048"
SH0000084,SH-202301-0084,"2025-01-31",WH001,深圳天翼中央成品仓库,43.0,郑州经纬空间信息有限公司,"17851333320",福建省厦门市,德邦物流,SF20250131571029,"2025-02-03",已签收,SO-202301-00341,"","2025-01-31",Active,"10055"
SH0000085,SH-202301-0085,"2025-02-27",WH001,深圳天翼中央成品仓库,46.0,郑州经纬空间信息有限公司,"17851333320",福建省厦门市,申通快递,SF20250227944962,"2025-03-06",已签收,SO-202301-00350,"","2025-02-27",Active,"10055"
SH0000086,SH-202301-0086,"2025-03-19",WH001,深圳天翼中央成品仓库,44.0,重庆镜头影像文化有限公司,"13751124015",江苏省南京市,百世快递,SF20250319263032,"2025-03-25",已签收,SO-202301-00425,"","2025-03-19",Active,"10068"
SH0000087,SH-202301-0087,"2025-02-14",WH001,深圳天翼中央成品仓库,6.0,长沙视界文化工作室,"17991713190",浙江省宁波市,顺丰速运,SF20250214498382,"2025-02-18",已签收,SO-202301-00437,"","2025-02-14",Active,"10071"
SH0000088,SH-202301-0088,"2025-02-19",WH001,深圳天翼中央成品仓库,41.0,郑州影立方制作传媒有限公司,"15826197069",福建省厦门市,中通快递,SF20250219377370,"2025-02-24",已签收,SO-202301-00443,"","2025-02-19",Active,"10072"
SH0000089,SH-202301-0089,"2025-03-21",WH001,深圳天翼中央成品仓库,9.0,大连镜头影视工作室,"18126870011",江苏省常州市,顺丰速运,SF20250321496922,"2025-03-24",已签收,SO-202301-00460,"","2025-03-21",Active,"10074"
SH0000090,SH-202301-0090,"2025-03-15",WH001,深圳天翼中央成品仓库,54.0,天津光影工场广告文化传播有限公司,"18198433586",重庆市重庆市,申通快递,SF20250315759176,"2025-03-20",已签收,SO-202301-00478,"","2025-03-15",Active,"10079"
SH0000091,SH-202301-0091,"2026-03-04",WH001,深圳天翼中央成品仓库,69.0,哈尔滨光影工场影视文化有限公司,"15173669588",河南省郑州市,京东物流,SF20260304771088,"",运输中,SO-202301-00482,合同变更后重新排程,"2026-03-04",Active,"10080"
SH0000092,SH-202301-0092,"2026-02-12",WH001,深圳天翼中央成品仓库,81.0,广州光影时代传媒文化传播有限公司,"19737444033",山东省济南市,百世快递,SF20260212440035,"",运输中,SO-202301-00500,客户申请延迟收货,"2026-02-12",Active,"10083"
SH0000093,SH-202301-0093,"2025-02-25",WH001,深圳天翼中央成品仓库,5.0,深圳影动力广告文化有限公司,"13200105056",江苏省无锡市,申通快递,SF20250225205907,"2025-03-03",已签收,SO-202301-00535,"","2025-02-25",Active,"10088"
SH0000094,SH-202301-0094,"2026-02-13",WH001,深圳天翼中央成品仓库,46.0,武汉守护安防科技服务有限公司,"19529979713",黑龙江省哈尔滨市,申通快递,SF20260213133659,"2026-02-18",已签收,SO-202301-00546,生产延迟导致发货推迟,"2026-02-13",Active,"10091"
SH0000095,SH-202301-0095,"2026-01-23",WH001,深圳天翼中央成品仓库,1.0,西安安邦安全技术工程有限公司,"15933468715",四川省成都市,德邦物流,SF20260123694731,"",运输中,SO-202301-00552,生产延迟导致发货推迟,"2026-01-23",Active,"10092"
SH0000096,SH-202301-0096,"2025-02-15",WH001,深圳天翼中央成品仓库,20.0,厦门安全卫士安防工程有限公司,"18574817290",重庆市重庆市,圆通速递,SF20250215779514,"2025-02-18",已签收,SO-202301-00574,"","2025-02-15",Active,"10095"
SH0000097,SH-202301-0097,"2025-03-18",WH001,深圳天翼中央成品仓库,7.0,南京安盾安保有限公司,"18140380477",河南省郑州市,德邦物流,SF20250318660086,"2025-03-21",已签收,SO-202301-00584,"","2025-03-18",Active,"10096"
SH0000098,SH-202302-0098,"2025-03-13",WH001,深圳天翼中央成品仓库,24.0,西安沃土植保科技有限公司,"17786066793",重庆市重庆市,京东物流,SF20250313497887,"2025-03-15",已签收,SO-202302-00005,"","2025-03-13",Active,"10002"
SH0000099,SH-202302-0099,"2025-03-07",WH001,深圳天翼中央成品仓库,29.0,郑州农丰农机技术有限公司,"13154318806",陕西省西安市,圆通速递,SF20250307440035,"2025-03-14",已签收,SO-202302-00067,"","2025-03-07",Active,"10011"
SH0000100,SH-202302-0100,"2025-04-01",WH001,深圳天翼中央成品仓库,36.0,南京田园农科服务有限公司,"15838194420",江苏省无锡市,申通快递,SF20250401430776,"2025-04-06",已签收,SO-202302-00118,"","2025-04-01",Active,"10020"
SH0000101,SH-202302-0101,"2026-02-11",WH001,深圳天翼中央成品仓库,5.0,青岛沃土植保有限公司,"15784095277",湖南省株洲市,百世快递,SF20260211623481,"2026-02-18",已签收,SO-202302-00130,物流调度重排,"2026-02-11",Active,"10021"
SH0000102,SH-202302-0102,"2026-02-02",WH001,深圳天翼中央成品仓库,28.0,杭州大地农资有限公司,"15126226563",上海市上海市,京东物流,SF20260202246413,"2026-02-09",已签收,SO-202302-00209,合同变更后重新排程,"2026-02-02",Active,"10033"
SH0000103,SH-202302-0103,"2025-03-18",WH001,深圳天翼中央成品仓库,5.0,上海图达地理信息技术有限公司,"17923450567",浙江省宁波市,百世快递,SF20250318246413,"2025-03-25",已签收,SO-202302-00238,"","2025-03-18",Active,"10036"
SH0000104,SH-202302-0104,"2025-03-11",WH001,深圳天翼中央成品仓库,40.0,沈阳空间空间信息有限公司,"19798423334",湖北省宜昌市,百世快递,SF20250311883300,"2025-03-14",已签收,SO-202302-00259,"","2025-03-11",Active,"10040"
SH0000105,SH-202302-0105,"2025-03-29",WH001,深圳天翼中央成品仓库,40.0,上海地理勘测有限公司,"17297958983",黑龙江省哈尔滨市,京东物流,SF20250329479580,"2025-04-02",已签收,SO-202302-00315,"","2025-03-29",Active,"10049"
SH0000106,SH-202302-0106,"2025-04-09",WH001,深圳天翼中央成品仓库,56.0,郑州经纬空间信息有限公司,"17851333320",福建省厦门市,京东物流,SF20250409195325,"2025-04-11",已签收,SO-202302-00344,"","2025-04-09",Active,"10055"
SH0000107,SH-202302-0107,"2025-03-11",WH001,深圳天翼中央成品仓库,47.0,大连天图测绘有限公司,"13272684373",陕西省咸阳市,圆通速递,SF20250311267753,"2025-03-16",已签收,SO-202302-00359,"","2025-03-11",Active,"10058"
SH0000108,SH-202302-0108,"2025-04-19",WH001,深圳天翼中央成品仓库,5.0,南京星图测量服务有限公司,"15656670062",湖北省襄阳市,顺丰速运,SF20250419503457,"2025-04-25",已签收,SO-202302-00377,"","2025-04-19",Active,"10060"
SH0000109,SH-202302-0109,"2025-03-06",WH001,深圳天翼中央成品仓库,36.0,南京地景测量技术有限公司,"17691458887",上海市上海市,中通快递,SF20250306363626,"2025-03-10",已签收,SO-202302-00388,"","2025-03-06",Active,"10062"
SH0000110,SH-202302-0110,"2025-03-15",WH001,深圳天翼中央成品仓库,73.0,长沙视界文化工作室,"17991713190",浙江省宁波市,圆通速递,SF20250315220116,"2025-03-22",已签收,SO-202302-00438,"","2025-03-15",Active,"10071"
SH0000111,SH-202302-0111,"2025-03-30",WH001,深圳天翼中央成品仓库,86.0,郑州影立方制作传媒有限公司,"15826197069",福建省厦门市,申通快递,SF20250330772097,"",运输中,SO-202302-00451,"","2025-03-30",Active,"10072"
SH0000112,SH-202302-0112,"2025-04-19",WH001,深圳天翼中央成品仓库,4.0,杭州视野制作传媒有限公司,"17819929088",上海市上海市,京东物流,SF20250419265840,"2025-04-21",已签收,SO-202302-00464,"","2025-04-19",Active,"10076"
SH0000113,SH-202302-0113,"2025-03-25",WH001,深圳天翼中央成品仓库,2.0,大连影视通传媒传媒有限公司,"17988434627",重庆市重庆市,圆通速递,SF20250325376183,"2025-03-31",已签收,SO-202302-00528,"","2025-03-25",Active,"10087"
SH0000114,SH-202302-0114,"2026-03-24",WH001,深圳天翼中央成品仓库,3.0,西安影像空间影像传媒有限公司,"19453954673",四川省成都市,京东物流,SF20260324883300,"",运输中,SO-202302-00537,物流调度重排,"2026-03-24",Active,"10089"
SH0000115,SH-202302-0115,"2026-03-07",WH001,深圳天翼中央成品仓库,7.0,西安光影时代制作文化传播有限公司,"19644830077",黑龙江省哈尔滨市,京东物流,SF20260307329974,"2026-03-13",已签收,SO-202302-00543,物流调度重排,"2026-03-07",Active,"10090"
