"pr_id","billno","entry_id","material_number","material_name","material_type","qty","unit","biztime","plant","buyer","srcbillid","created_date","status"
PRID-000034,PR-202605-0034,PRID-000034-1,RAW-COPPER-WIRE,铜漆包线,外购,414.0,千克,"2026-05-02",P1,李航,MRP-202605-0051,"2026-05-02",已审核
PRID-000035,PR-202605-0035,PRID-000035-1,RAW-AL-ALLOY,铝合金材料,外购,690.0,千克,"2026-05-01",P2,周宁,MRP-202605-0052,"2026-05-01",已审核
PRID-000036,PR-202605-0036,PRID-000036-1,RAW-SI-WAFER-12IN,"12英寸硅晶圆",外购,1.0,片,"2026-05-03",P3,陈璐,MRP-202605-0053,"2026-05-03",已下达
PRID-000037,PR-202605-0037,PRID-000037-1,RAW-FR4-CCL,FR4覆铜板,外购,40.0,平米,"2026-05-03",P1,李航,MRP-202605-0054,"2026-05-03",已审核
PRID-000038,PR-202604-0038,PRID-000038-1,PART-FRAME-HEX-CF-HD,六轴重载碳纤维机架,外购,260.0,套,"2026-04-02",P2,周宁,MRP-202604-0055,"2026-04-02",已审核
PRID-000039,PR-202604-0039,PRID-000039-1,ASSY-FC-RTK,RTK高精度飞控总成,自制,247.0,套,"2026-04-03",P3,陈璐,MRP-202604-0056,"2026-04-03",已审核
PRID-000040,PR-202604-0040,PRID-000040-1,PART-CAM-FPV,FPV图传相机,外购,281.0,个,"2026-04-01",P1,李航,MRP-202604-0057,"2026-04-01",已审核
PRID-000041,PR-202604-0041,PRID-000041-1,PART-MOTOR-5010-PRO,"5010重载无刷电机",外购,1482.0,个,"2026-04-02",P2,周宁,MRP-202604-0058,"2026-04-02",已审核
PRID-000042,PR-202604-0042,PRID-000042-1,PART-ESC-60A,"60A电调",外购,1685.0,个,"2026-04-03",P3,陈璐,MRP-202604-0059,"2026-04-03",已审核
PRID-000043,PR-202604-0043,PRID-000043-1,PART-PROP-3016-CF,"3016碳纤螺旋桨",外购,1560.0,副,"2026-04-02",P1,李航,MRP-202604-0060,"2026-04-02",已下达
PRID-000044,PR-202604-0044,PRID-000044-1,PART-BAT-12S-22000,"12S22000mAh重载电池",外购,494.0,块,"2026-04-03",P2,周宁,MRP-202604-0061,"2026-04-03",已审核
PRID-000045,PR-202604-0045,PRID-000045-1,PART-RC-IND,工业遥控器,外购,281.0,个,"2026-04-03",P3,陈璐,MRP-202604-0062,"2026-04-03",已审核
PRID-000046,PR-202604-0046,PRID-000046-1,PART-SPRAYER-30L,"30升智能喷洒系统",外购,260.0,套,"2026-04-03",P1,李航,MRP-202604-0063,"2026-04-03",已审核
PRID-000047,PR-202604-0047,PRID-000047-1,PART-RADAR-ALT,雷达测高仪,外购,281.0,个,"2026-04-03",P2,周宁,MRP-202604-0064,"2026-04-03",已审核
PRID-000048,PR-202604-0048,PRID-000048-1,COMP-FC-PCB-R1,RTK飞控主板,自制,281.0,块,"2026-04-03",P3,陈璐,MRP-202604-0065,"2026-04-03",已审核
PRID-000049,PR-202604-0049,PRID-000049-1,PART-IMU-ADIS16505,ADIS16505工业级IMU,外购,247.0,个,"2026-04-01",P1,李航,MRP-202604-0066,"2026-04-01",已审核
PRID-000050,PR-202604-0050,PRID-000050-1,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,外购,260.0,个,"2026-04-02",P2,周宁,MRP-202604-0067,"2026-04-02",已下达
PRID-000051,PR-202604-0051,PRID-000051-1,PART-4G-MODULE,"4G通信模块",外购,260.0,个,"2026-04-03",P3,陈璐,MRP-202604-0068,"2026-04-03",已审核
PRID-000052,PR-202604-0052,PRID-000052-1,COMP-FC-CASE-AL-IND,工业级铝合金外壳,自制,247.0,套,"2026-04-02",P1,李航,MRP-202604-0069,"2026-04-02",已审核
PRID-000053,PR-202604-0053,PRID-000053-1,RAW-LIPO-CELL,锂聚合物电芯,外购,1011.0,千克,"2026-04-03",P2,周宁,MRP-202604-0070,"2026-04-03",已审核
PRID-000054,PR-202604-0054,PRID-000054-1,PART-MCU-STM32H753,STM32H753双核芯片,外购,281.0,颗,"2026-04-01",P3,陈璐,MRP-202604-0071,"2026-04-01",已审核
PRID-000055,PR-202604-0055,PRID-000055-1,PART-PCB-FC-8L,"8层飞控PCB板",外购,247.0,块,"2026-04-02",P1,李航,MRP-202604-0072,"2026-04-02",已审核
PRID-000056,PR-202604-0056,PRID-000056-1,PART-FPGA-ICE40,ICE40 FPGA,外购,260.0,颗,"2026-04-03",P2,周宁,MRP-202604-0073,"2026-04-03",已审核
PRID-000057,PR-202604-0057,PRID-000057-1,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,外购,988.0,个,"2026-04-02",P3,陈璐,MRP-202604-0074,"2026-04-02",已下达
PRID-000058,PR-202604-0058,PRID-000058-1,RAW-SI-WAFER-12IN,"12英寸硅晶圆",外购,1.0,片,"2026-04-01",P1,李航,MRP-202604-0075,"2026-04-01",已审核
PRID-000059,PR-202604-0059,PRID-000059-1,RAW-FR4-CCL,FR4覆铜板,外购,22.0,平米,"2026-04-01",P2,周宁,MRP-202604-0076,"2026-04-01",已审核
PRID-000060,PR-202605-0060,PRID-000060-1,PART-FRAME-HEX-CF-HD,六轴重载碳纤维机架,外购,600.0,套,"2026-05-02",P3,陈璐,MRP-202605-0077,"2026-05-02",已审核
PRID-000061,PR-202605-0061,PRID-000061-1,ASSY-FC-RTK,RTK高精度飞控总成,自制,648.0,套,"2026-05-03",P1,李航,MRP-202605-0078,"2026-05-03",已审核
PRID-000062,PR-202605-0062,PRID-000062-1,PART-CAM-FPV,FPV图传相机,外购,600.0,个,"2026-05-02",P2,周宁,MRP-202605-0079,"2026-05-02",已审核
PRID-000063,PR-202605-0063,PRID-000063-1,PART-MOTOR-5010-PRO,"5010重载无刷电机",外购,3420.0,个,"2026-05-03",P3,陈璐,MRP-202605-0080,"2026-05-03",已审核
PRID-000064,PR-202605-0064,PRID-000064-1,PART-ESC-60A,"60A电调",外购,3888.0,个,"2026-05-03",P1,李航,MRP-202605-0081,"2026-05-03",已下达
PRID-000065,PR-202605-0065,PRID-000065-1,PART-PROP-3016-CF,"3016碳纤螺旋桨",外购,3600.0,副,"2026-05-03",P2,周宁,MRP-202605-0082,"2026-05-03",已审核
PRID-000066,PR-202605-0066,PRID-000066-1,PART-BAT-12S-22000,"12S22000mAh重载电池",外购,1200.0,块,"2026-05-02",P3,陈璐,MRP-202605-0083,"2026-05-02",已审核
PRID-000067,PR-202605-0067,PRID-000067-1,PART-RC-IND,工业遥控器,外购,600.0,个,"2026-05-03",P1,李航,MRP-202605-0084,"2026-05-03",已审核
PRID-000068,PR-202605-0068,PRID-000068-1,PART-SPRAYER-30L,"30升智能喷洒系统",外购,570.0,套,"2026-05-01",P2,周宁,MRP-202605-0085,"2026-05-01",已审核
PRID-000069,PR-202605-0069,PRID-000069-1,PART-RADAR-ALT,雷达测高仪,外购,648.0,个,"2026-05-03",P3,陈璐,MRP-202605-0086,"2026-05-03",已审核
PRID-000070,PR-202605-0070,PRID-000070-1,COMP-FC-PCB-R1,RTK飞控主板,自制,600.0,块,"2026-05-02",P1,李航,MRP-202605-0087,"2026-05-02",已审核
PRID-000071,PR-202605-0071,PRID-000071-1,PART-IMU-ADIS16505,ADIS16505工业级IMU,外购,648.0,个,"2026-05-01",P2,周宁,MRP-202605-0088,"2026-05-01",已下达
PRID-000072,PR-202605-0072,PRID-000072-1,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,外购,600.0,个,"2026-05-01",P3,陈璐,MRP-202605-0089,"2026-05-01",已审核
PRID-000073,PR-202605-0073,PRID-000073-1,PART-4G-MODULE,"4G通信模块",外购,570.0,个,"2026-05-02",P1,李航,MRP-202605-0090,"2026-05-02",已审核
PRID-000074,PR-202605-0074,PRID-000074-1,COMP-FC-CASE-AL-IND,工业级铝合金外壳,委外,570.0,套,"2026-05-02",P2,周宁,MRP-202605-0091,"2026-05-02",已审核
PRID-000075,PR-202605-0075,PRID-000075-1,RAW-LIPO-CELL,锂聚合物电芯,外购,2333.0,千克,"2026-05-03",P3,陈璐,MRP-202605-0092,"2026-05-03",已审核
PRID-000076,PR-202605-0076,PRID-000076-1,PART-MCU-STM32H753,STM32H753双核芯片,外购,600.0,颗,"2026-05-03",P1,李航,MRP-202605-0093,"2026-05-03",已审核
PRID-000077,PR-202605-0077,PRID-000077-1,PART-PCB-FC-8L,"8层飞控PCB板",外购,600.0,块,"2026-05-02",P2,周宁,MRP-202605-0094,"2026-05-02",已审核
PRID-000078,PR-202605-0078,PRID-000078-1,PART-FPGA-ICE40,ICE40 FPGA,外购,570.0,颗,"2026-05-02",P3,陈璐,MRP-202605-0095,"2026-05-02",已下达
PRID-000079,PR-202605-0079,PRID-000079-1,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,外购,2280.0,个,"2026-05-03",P1,李航,MRP-202605-0096,"2026-05-03",已审核
PRID-000080,PR-202605-0080,PRID-000080-1,RAW-SI-WAFER-12IN,"12英寸硅晶圆",外购,1.0,片,"2026-05-03",P2,周宁,MRP-202605-0097,"2026-05-03",已审核
PRID-000081,PR-202605-0081,PRID-000081-1,RAW-FR4-CCL,FR4覆铜板,外购,52.0,平米,"2026-05-02",P3,陈璐,MRP-202605-0098,"2026-05-02",已审核
PRID-000082,PR-202604-0082,PRID-000082-1,ASSY-BODY-IND-01,工业级强化机身总成,自制,361.0,套,"2026-04-01",P1,李航,MRP-202604-0099,"2026-04-01",已审核
PRID-000083,PR-202604-0083,PRID-000083-1,ASSY-FC-RTK,RTK高精度飞控总成,自制,380.0,套,"2026-04-03",P2,周宁,MRP-202604-0100,"2026-04-03",已审核
PRID-000084,PR-202604-0084,PRID-000084-1,PART-CAM-FPV,FPV图传相机,外购,361.0,个,"2026-04-02",P3,陈璐,MRP-202604-0101,"2026-04-02",已审核
PRID-000085,PR-202604-0085,PRID-000085-1,ASSY-PWR-TQ,高扭矩动力系统总成,委外,410.0,套,"2026-04-01",P1,李航,MRP-202604-0102,"2026-04-01",已下达
PRID-000086,PR-202604-0086,PRID-000086-1,ASSY-BAT-DUAL,双电池冗余系统,自制,361.0,套,"2026-04-03",P2,周宁,MRP-202604-0103,"2026-04-03",已审核
PRID-000087,PR-202604-0087,PRID-000087-1,PART-RC-IND,工业遥控器,外购,361.0,个,"2026-04-03",P3,陈璐,MRP-202604-0104,"2026-04-03",已审核
PRID-000088,PR-202604-0088,PRID-000088-1,PART-SPRAYER-16L,"16升智能喷洒系统",外购,410.0,套,"2026-04-01",P1,李航,MRP-202604-0105,"2026-04-01",已审核
PRID-000089,PR-202604-0089,PRID-000089-1,PART-RADAR-ALT,雷达测高仪,外购,361.0,个,"2026-04-01",P2,周宁,MRP-202604-0106,"2026-04-01",已审核
PRID-000090,PR-202604-0090,PRID-000090-1,COMP-FRAME-CF-IND,工业级碳纤维框架,委外,361.0,个,"2026-04-02",P3,陈璐,MRP-202604-0107,"2026-04-02",已审核
PRID-000091,PR-202604-0091,PRID-000091-1,COMP-ARM-CF-TUBE-HD,加强型碳纤维机臂,自制,1444.0,根,"2026-04-03",P1,李航,MRP-202604-0108,"2026-04-03",已审核
PRID-000092,PR-202604-0092,PRID-000092-1,COMP-MOTOR-MOUNT-AL-HD,重载铝合金电机座,自制,1444.0,个,"2026-04-03",P2,周宁,MRP-202604-0109,"2026-04-03",已下达
PRID-000093,PR-202604-0093,PRID-000093-1,COMP-LG-AL-IND,工业铝合金起落架,自制,722.0,套,"2026-04-01",P3,陈璐,MRP-202604-0110,"2026-04-01",已审核
PRID-000094,PR-202604-0094,PRID-000094-1,PART-SCREW-M4-16,M4x16螺钉,外购,14440.0,颗,"2026-04-03",P1,李航,MRP-202604-0111,"2026-04-03",已审核
PRID-000095,PR-202604-0095,PRID-000095-1,PART-DAMPER-HARD,硬质减震球,外购,1642.0,个,"2026-04-02",P2,周宁,MRP-202604-0112,"2026-04-02",已审核
PRID-000096,PR-202604-0096,PRID-000096-1,COMP-FC-PCB-R1,RTK飞控主板,自制,361.0,块,"2026-04-03",P3,陈璐,MRP-202604-0113,"2026-04-03",已审核
PRID-000097,PR-202604-0097,PRID-000097-1,PART-IMU-ADIS16505,ADIS16505工业级IMU,外购,361.0,个,"2026-04-03",P1,李航,MRP-202604-0114,"2026-04-03",已审核
PRID-000098,PR-202604-0098,PRID-000098-1,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,外购,410.0,个,"2026-04-02",P2,周宁,MRP-202604-0115,"2026-04-02",已审核
PRID-000099,PR-202604-0099,PRID-000099-1,PART-4G-MODULE,"4G通信模块",外购,380.0,个,"2026-04-01",P3,陈璐,MRP-202604-0116,"2026-04-01",已下达
PRID-000100,PR-202604-0100,PRID-000100-1,COMP-FC-CASE-AL-IND,工业级铝合金外壳,自制,410.0,套,"2026-04-02",P1,李航,MRP-202604-0117,"2026-04-02",已审核
PRID-000101,PR-202604-0101,PRID-000101-1,PART-MOTOR-4114-400KV,"4114 400KV高扭矩电机",外购,2166.0,个,"2026-04-03",P2,周宁,MRP-202604-0118,"2026-04-03",已审核
PRID-000102,PR-202604-0102,PRID-000102-1,PART-ESC-50A-FOC,"50A FOC电调",外购,2462.0,个,"2026-04-02",P3,陈璐,MRP-202604-0119,"2026-04-02",已审核
PRID-000103,PR-202604-0103,PRID-000103-1,PART-PROP-1755-CF,"1755碳纤维螺旋桨",外购,2462.0,副,"2026-04-03",P1,李航,MRP-202604-0120,"2026-04-03",已审核
PRID-000104,PR-202604-0104,PRID-000104-1,PART-CABLE-ESC-HD,加强型电调线,外购,2462.0,根,"2026-04-01",P2,周宁,MRP-202604-0121,"2026-04-01",已审核
PRID-000105,PR-202604-0105,PRID-000105-1,PART-BAT-6S-10000,"6S10000mAh智能电池",外购,760.0,块,"2026-04-02",P3,陈璐,MRP-202604-0122,"2026-04-02",已审核
PRID-000106,PR-202604-0106,PRID-000106-1,COMP-BAT-MANAGER,双电池管理模块,自制,410.0,块,"2026-04-02",P1,李航,MRP-202604-0123,"2026-04-02",已下达
PRID-000107,PR-202604-0107,PRID-000107-1,COMP-BAT-MOUNT,电池固定架,委外,410.0,套,"2026-04-01",P2,周宁,MRP-202604-0124,"2026-04-01",已审核
PRID-000108,PR-202604-0108,PRID-000108-1,PART-MCU-STM32H753,STM32H753双核芯片,外购,361.0,颗,"2026-04-02",P3,陈璐,MRP-202604-0125,"2026-04-02",已审核
PRID-000109,PR-202604-0109,PRID-000109-1,PART-PCB-FC-8L,"8层飞控PCB板",外购,410.0,块,"2026-04-03",P1,李航,MRP-202604-0126,"2026-04-03",已审核
PRID-000110,PR-202604-0110,PRID-000110-1,PART-FPGA-ICE40,ICE40 FPGA,外购,410.0,颗,"2026-04-03",P2,周宁,MRP-202604-0127,"2026-04-03",已审核
PRID-000111,PR-202604-0111,PRID-000111-1,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,外购,1520.0,个,"2026-04-03",P3,陈璐,MRP-202604-0128,"2026-04-03",已审核
PRID-000112,PR-202604-0112,PRID-000112-1,RAW-NEODYMIUM,钕铁硼磁性材料,外购,111.0,千克,"2026-04-02",P1,李航,MRP-202604-0129,"2026-04-02",已审核
PRID-000113,PR-202604-0113,PRID-000113-1,RAW-COPPER-WIRE,铜漆包线,外购,369.0,千克,"2026-04-01",P2,周宁,MRP-202604-0130,"2026-04-01",已下达
PRID-000114,PR-202604-0114,PRID-000114-1,RAW-AL-ALLOY,铝合金材料,外购,616.0,千克,"2026-04-02",P3,陈璐,MRP-202604-0131,"2026-04-02",已审核
PRID-000115,PR-202604-0115,PRID-000115-1,RAW-LIPO-CELL,锂聚合物电芯,外购,253.0,千克,"2026-04-03",P1,李航,MRP-202604-0132,"2026-04-03",已审核
PRID-000116,PR-202604-0116,PRID-000116-1,PART-PCB-2L,"2层PCB板",外购,361.0,块,"2026-04-01",P2,周宁,MRP-202604-0133,"2026-04-01",已审核
PRID-000117,PR-202604-0117,PRID-000117-1,PART-MOSFET-DUAL,双路MOSFET,外购,722.0,颗,"2026-04-03",P3,陈璐,MRP-202604-0134,"2026-04-03",已审核
PRID-000118,PR-202604-0118,PRID-000118-1,PART-MCU-STM32F103,STM32F103控制芯片,外购,380.0,颗,"2026-04-01",P1,李航,MRP-202604-0135,"2026-04-01",已审核
PRID-000119,PR-202604-0119,PRID-000119-1,RAW-SI-WAFER-12IN,"12英寸硅晶圆",外购,1.0,片,"2026-04-03",P2,周宁,MRP-202604-0136,"2026-04-03",已审核
PRID-000120,PR-202604-0120,PRID-000120-1,RAW-FR4-CCL,FR4覆铜板,外购,33.0,平米,"2026-04-02",P3,陈璐,MRP-202604-0137,"2026-04-02",已下达
PRID-000121,PR-202605-0121,PRID-000121-1,ASSY-BODY-IND-01,工业级强化机身总成,自制,570.0,套,"2026-05-02",P1,李航,MRP-202605-0138,"2026-05-02",已审核
PRID-000122,PR-202605-0122,PRID-000122-1,ASSY-FC-RTK,RTK高精度飞控总成,自制,648.0,套,"2026-05-03",P2,周宁,MRP-202605-0139,"2026-05-03",已审核
PRID-000123,PR-202605-0123,PRID-000123-1,PART-CAM-FPV,FPV图传相机,外购,600.0,个,"2026-05-03",P3,陈璐,MRP-202605-0140,"2026-05-03",已审核
PRID-000124,PR-202605-0124,PRID-000124-1,ASSY-PWR-TQ,高扭矩动力系统总成,委外,648.0,套,"2026-05-01",P1,李航,MRP-202605-0141,"2026-05-01",已审核
PRID-000125,PR-202605-0125,PRID-000125-1,ASSY-BAT-DUAL,双电池冗余系统,委外,570.0,套,"2026-05-01",P2,周宁,MRP-202605-0142,"2026-05-01",已审核
PRID-000126,PR-202605-0126,PRID-000126-1,PART-RC-IND,工业遥控器,外购,600.0,个,"2026-05-02",P3,陈璐,MRP-202605-0143,"2026-05-02",已审核
PRID-000127,PR-202605-0127,PRID-000127-1,PART-SPRAYER-16L,"16升智能喷洒系统",外购,648.0,套,"2026-05-02",P1,李航,MRP-202605-0144,"2026-05-02",已下达
PRID-000128,PR-202605-0128,PRID-000128-1,PART-RADAR-ALT,雷达测高仪,外购,600.0,个,"2026-05-02",P2,周宁,MRP-202605-0145,"2026-05-02",已审核
PRID-000129,PR-202605-0129,PRID-000129-1,COMP-FRAME-CF-IND,工业级碳纤维框架,自制,648.0,个,"2026-05-02",P3,陈璐,MRP-202605-0146,"2026-05-02",已审核
PRID-000130,PR-202605-0130,PRID-000130-1,COMP-ARM-CF-TUBE-HD,加强型碳纤维机臂,自制,2400.0,根,"2026-05-03",P1,李航,MRP-202605-0147,"2026-05-03",已审核
PRID-000131,PR-202605-0131,PRID-000131-1,COMP-MOTOR-MOUNT-AL-HD,重载铝合金电机座,委外,2400.0,个,"2026-05-02",P2,周宁,MRP-202605-0148,"2026-05-02",已审核
PRID-000132,PR-202605-0132,PRID-000132-1,COMP-LG-AL-IND,工业铝合金起落架,自制,1200.0,套,"2026-05-02",P3,陈璐,MRP-202605-0149,"2026-05-02",已审核
PRID-000133,PR-202605-0133,PRID-000133-1,PART-SCREW-M4-16,M4x16螺钉,外购,25920.0,颗,"2026-05-03",P1,李航,MRP-202605-0150,"2026-05-03",已审核
PRID-000134,PR-202605-0134,PRID-000134-1,PART-DAMPER-HARD,硬质减震球,外购,2592.0,个,"2026-05-01",P2,周宁,MRP-202605-0151,"2026-05-01",已下达
PRID-000135,PR-202605-0135,PRID-000135-1,COMP-FC-PCB-R1,RTK飞控主板,自制,600.0,块,"2026-05-03",P3,陈璐,MRP-202605-0152,"2026-05-03",已审核
PRID-000136,PR-202605-0136,PRID-000136-1,PART-IMU-ADIS16505,ADIS16505工业级IMU,外购,570.0,个,"2026-05-03",P1,李航,MRP-202605-0153,"2026-05-03",已审核
PRID-000137,PR-202605-0137,PRID-000137-1,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,外购,600.0,个,"2026-05-01",P2,周宁,MRP-202605-0154,"2026-05-01",已审核
PRID-000138,PR-202605-0138,PRID-000138-1,PART-4G-MODULE,"4G通信模块",外购,570.0,个,"2026-05-03",P3,陈璐,MRP-202605-0155,"2026-05-03",已审核
PRID-000139,PR-202605-0139,PRID-000139-1,COMP-FC-CASE-AL-IND,工业级铝合金外壳,自制,570.0,套,"2026-05-01",P1,李航,MRP-202605-0156,"2026-05-01",已审核
PRID-000140,PR-202605-0140,PRID-000140-1,PART-MOTOR-4114-400KV,"4114 400KV高扭矩电机",外购,3420.0,个,"2026-05-01",P2,周宁,MRP-202605-0157,"2026-05-01",已审核
PRID-000141,PR-202605-0141,PRID-000141-1,PART-ESC-50A-FOC,"50A FOC电调",外购,3420.0,个,"2026-05-01",P3,陈璐,MRP-202605-0158,"2026-05-01",已下达
PRID-000142,PR-202605-0142,PRID-000142-1,PART-PROP-1755-CF,"1755碳纤维螺旋桨",外购,3888.0,副,"2026-05-02",P1,李航,MRP-202605-0159,"2026-05-02",已审核
PRID-000143,PR-202605-0143,PRID-000143-1,PART-CABLE-ESC-HD,加强型电调线,外购,3420.0,根,"2026-05-03",P2,周宁,MRP-202605-0160,"2026-05-03",已审核
PRID-000144,PR-202605-0144,PRID-000144-1,PART-BAT-6S-10000,"6S10000mAh智能电池",外购,1200.0,块,"2026-05-01",P3,陈璐,MRP-202605-0161,"2026-05-01",已审核
PRID-000145,PR-202605-0145,PRID-000145-1,COMP-BAT-MANAGER,双电池管理模块,自制,648.0,块,"2026-05-02",P1,李航,MRP-202605-0162,"2026-05-02",已审核
