"purchase_order_id","purchase_order_number","document_date","supplier_id","supplier_name","material_id","material_code","material_name","purchase_quantity","unit_price_tax","tax_rate","document_status","required_date","planned_arrival_date","accumulated_arrival_tax","accumulated_storage_tax","payment_terms","buyer","created_date","status","srcbillid","srcbillentryid"
POID-000028,PO-202604-0028,"2026-04-02",SUP-021,索尼半导体解决方案,M0022,PART-CAM-FPV,FPV图传相机,281.0,918.74,0.13,已入库,"2026-04-09","2026-04-12",238872.4,0.0,月结30天,李航,"2026-04-02",执行中,PRID-000040,PRID-000040-1
POID-000029,PO-202604-0029,"2026-04-03",SUP-012,深圳大疆创新动力系统,M0037,PART-MOTOR-5010-PRO,"5010重载无刷电机",1482.0,1070.47,0.13,已入库,"2026-04-10","2026-04-13",1236392.85,475288.68,月结45天,周宁,"2026-04-03",有效,PRID-000041,PRID-000041-1
POID-000030,PO-202604-0030,"2026-04-04",SUP-013,美国Castle电调公司,M0038,PART-ESC-60A,"60A电调",1685.0,503.4,0.13,已入库,"2026-04-11","2026-04-14",554746.8,0.0,信用证,陈璐,"2026-04-04",有效,PRID-000042,PRID-000042-1
POID-000031,PO-202604-0031,"2026-04-03",SUP-016,APC螺旋桨美国公司,M0039,PART-PROP-3016-CF,"3016碳纤螺旋桨",1560.0,220.56,0.13,已入库,"2026-04-10","2026-04-13",330178.32,0.0,"预付30%,货到付清",李航,"2026-04-03",有效,PRID-000043,PRID-000043-1
POID-000032,PO-202604-0032,"2026-04-04",SUP-020,格氏ace电池科技,M0040,PART-BAT-12S-22000,"12S22000mAh重载电池",494.0,931.62,0.13,已入库,"2026-04-11","2026-04-14",368921.52,0.0,月结45天,周宁,"2026-04-04",有效,PRID-000044,PRID-000044-1
POID-000033,PO-202604-0033,"2026-04-04",SUP-043,深圳无线通信技术公司,M0025,PART-RC-IND,工业遥控器,281.0,506.09,0.13,已入库,"2026-04-11","2026-04-14",142211.29,142211.29,款到发货,陈璐,"2026-04-04",有效,PRID-000045,PRID-000045-1
POID-000034,PO-202604-0034,"2026-04-04",SUP-009,深圳华强PCB制造厂,M0072,COMP-FC-PCB-R1,RTK飞控主板,281.0,2145.86,0.13,已入库,"2026-04-11","2026-04-14",0.0,0.0,月结30天,李航,"2026-04-04",有效,PRID-000048,PRID-000048-1
POID-000035,PO-202604-0035,"2026-04-02",SUP-005,深圳矽递科技有限公司,M0073,PART-IMU-ADIS16505,ADIS16505工业级IMU,247.0,1344.27,0.13,已审核,"2026-04-09","2026-04-12",0.0,0.0,月结30天,周宁,"2026-04-02",有效,PRID-000049,PRID-000049-1
POID-000036,PO-202604-0036,"2026-04-03",SUP-008,和芯星通科技有限公司,M0074,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,260.0,3497.24,0.13,已入库,"2026-04-10","2026-04-13",0.0,0.0,月结30天,陈璐,"2026-04-03",有效,PRID-000050,PRID-000050-1
POID-000037,PO-202604-0037,"2026-04-04",SUP-044,移远通信股份有限公司,M0075,PART-4G-MODULE,"4G通信模块",260.0,677.4,0.13,已入库,"2026-04-11","2026-04-14",0.0,0.0,月结30天,李航,"2026-04-04",执行中,PRID-000051,PRID-000051-1
POID-000038,PO-202604-0038,"2026-04-03",SUP-027,深圳铝合金精密加工厂,M0076,COMP-FC-CASE-AL-IND,工业级铝合金外壳,247.0,1537.51,0.13,已入库,"2026-04-10","2026-04-13",0.0,0.0,"预付50%,货到付清",周宁,"2026-04-03",有效,PRID-000052,PRID-000052-1
POID-000039,PO-202604-0039,"2026-04-04",SUP-017,宁德时代新能源科技,M0124,RAW-LIPO-CELL,锂聚合物电芯,1011.0,717.09,0.13,已入库,"2026-04-11","2026-04-14",724977.99,0.0,款到发货,陈璐,"2026-04-04",有效,PRID-000053,PRID-000053-1
POID-000040,PO-202604-0040,"2026-04-02",SUP-003,意法半导体（ST）亚太区,M0108,PART-MCU-STM32H753,STM32H753双核芯片,281.0,393.07,0.13,已审核,"2026-04-09","2026-04-12",0.0,0.0,月结30天,李航,"2026-04-02",有效,PRID-000054,PRID-000054-1
POID-000041,PO-202604-0041,"2026-04-04",SUP-001,芯源微电子股份有限公司,M0110,PART-FPGA-ICE40,ICE40 FPGA,260.0,1483.26,0.13,已入库,"2026-04-11","2026-04-14",226938.78,0.0,"预付30%,货到付清",周宁,"2026-04-04",有效,PRID-000056,PRID-000056-1
POID-000042,PO-202604-0042,"2026-04-02",SUP-031,台积电（TSMC）,M0120,RAW-SI-WAFER-12IN,"12英寸硅晶圆",1.0,836.86,0.13,已审核,"2026-04-09","2026-04-12",0.0,0.0,月结60天,陈璐,"2026-04-02",有效,PRID-000058,PRID-000058-1
POID-000043,PO-202605-0043,"2026-05-03",SUP-025,东莞碳纤维复合材料厂,M0036,PART-FRAME-HEX-CF-HD,六轴重载碳纤维机架,600.0,1185.04,0.13,已审核,"2026-05-10","2026-05-13",0.0,0.0,月结45天,李航,"2026-05-03",有效,PRID-000060,PRID-000060-1
POID-000044,PO-202605-0044,"2026-05-04",SUP-002,德州仪器（TI）中国代理,M0021,ASSY-FC-RTK,RTK高精度飞控总成,648.0,3450.45,0.13,已审核,"2026-05-11","2026-05-14",0.0,0.0,款到发货,周宁,"2026-05-04",有效,PRID-000061,PRID-000061-1
POID-000045,PO-202605-0045,"2026-05-03",SUP-022,豪威科技（OmniVision）,M0022,PART-CAM-FPV,FPV图传相机,600.0,918.74,0.13,已入库,"2026-05-10","2026-05-13",551244.0,0.0,月结30天,陈璐,"2026-05-03",有效,PRID-000062,PRID-000062-1
POID-000046,PO-202605-0046,"2026-05-04",SUP-011,T-Motor无刷电机有限公司,M0037,PART-MOTOR-5010-PRO,"5010重载无刷电机",3420.0,1070.47,0.13,部分到货,"2026-05-11","2026-05-14",610167.9,0.0,月结45天,李航,"2026-05-04",执行中,PRID-000063,PRID-000063-1
POID-000047,PO-202605-0047,"2026-05-04",SUP-014,好盈电子科技有限公司,M0038,PART-ESC-60A,"60A电调",3888.0,503.4,0.13,部分到货,"2026-05-11","2026-05-14",302040.0,0.0,信用证,周宁,"2026-05-04",有效,PRID-000064,PRID-000064-1
POID-000048,PO-202605-0048,"2026-05-04",SUP-015,深圳碳纤维螺旋桨制造厂,M0039,PART-PROP-3016-CF,"3016碳纤螺旋桨",3600.0,220.56,0.13,已审核,"2026-05-11","2026-05-14",0.0,0.0,"预付30%,货到付清",陈璐,"2026-05-04",有效,PRID-000065,PRID-000065-1
POID-000049,PO-202605-0049,"2026-05-02",SUP-038,深圳农业喷洒系统公司,M0041,PART-SPRAYER-30L,"30升智能喷洒系统",570.0,297.56,0.13,已入库,"2026-05-09","2026-05-12",122297.16,122297.16,月结30天,李航,"2026-05-02",有效,PRID-000068,PRID-000068-1
POID-000050,PO-202605-0050,"2026-05-04",SUP-039,常州雷达测高仪制造厂,M0027,PART-RADAR-ALT,雷达测高仪,648.0,257.61,0.13,已审核,"2026-05-11","2026-05-18",0.0,0.0,"预付50%,货到付清",周宁,"2026-05-04",有效,PRID-000069,PRID-000069-1
POID-000051,PO-202605-0051,"2026-05-03",SUP-009,深圳华强PCB制造厂,M0072,COMP-FC-PCB-R1,RTK飞控主板,600.0,2145.86,0.13,已审核,"2026-05-10","2026-05-13",0.0,0.0,月结30天,陈璐,"2026-05-03",有效,PRID-000070,PRID-000070-1
POID-000052,PO-202605-0052,"2026-05-03",SUP-044,移远通信股份有限公司,M0075,PART-4G-MODULE,"4G通信模块",570.0,677.4,0.13,已审核,"2026-05-10","2026-05-15",0.0,0.0,月结30天,李航,"2026-05-03",有效,PRID-000073,PRID-000073-1
POID-000053,PO-202605-0053,"2026-05-03",SUP-027,深圳铝合金精密加工厂,M0076,COMP-FC-CASE-AL-IND,工业级铝合金外壳,570.0,1537.51,0.13,已审核,"2026-05-10","2026-05-13",0.0,0.0,"预付50%,货到付清",周宁,"2026-05-03",有效,PRID-000074,PRID-000074-1
POID-000054,PO-202605-0054,"2026-05-04",SUP-003,意法半导体（ST）亚太区,M0108,PART-MCU-STM32H753,STM32H753双核芯片,600.0,393.07,0.13,已审核,"2026-05-11","2026-05-14",0.0,0.0,月结30天,陈璐,"2026-05-04",有效,PRID-000076,PRID-000076-1
POID-000055,PO-202605-0055,"2026-05-03",SUP-009,深圳华强PCB制造厂,M0109,PART-PCB-FC-8L,"8层飞控PCB板",600.0,1480.9,0.13,已入库,"2026-05-10","2026-05-13",669366.8,303584.5,"预付30%,货到付清",李航,"2026-05-03",执行中,PRID-000077,PRID-000077-1
POID-000056,PO-202605-0056,"2026-05-03",SUP-001,芯源微电子股份有限公司,M0110,PART-FPGA-ICE40,ICE40 FPGA,570.0,1483.26,0.13,已审核,"2026-05-10","2026-05-13",0.0,0.0,"预付30%,货到付清",周宁,"2026-05-03",有效,PRID-000078,PRID-000078-1
POID-000057,PO-202605-0057,"2026-05-04",SUP-042,深圳线缆连接器公司,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,2280.0,782.89,0.13,已入库,"2026-05-11","2026-05-14",1784989.2,1784989.2,款到发货,陈璐,"2026-05-04",有效,PRID-000079,PRID-000079-1
POID-000058,PO-202605-0058,"2026-05-03",SUP-010,生益科技股份有限公司,M0125,RAW-FR4-CCL,FR4覆铜板,52.0,2450.61,0.13,已审核,"2026-05-10","2026-05-13",0.0,0.0,款到发货,李航,"2026-05-03",有效,PRID-000081,PRID-000081-1
POID-000059,PO-202604-0059,"2026-04-02",SUP-026,中航复合材料有限公司,M0020,ASSY-BODY-IND-01,工业级强化机身总成,361.0,2308.13,0.13,已入库,"2026-04-09","2026-04-12",0.0,0.0,月结30天,周宁,"2026-04-02",有效,PRID-000082,PRID-000082-1
POID-000060,PO-202604-0060,"2026-04-04",SUP-002,德州仪器（TI）中国代理,M0021,ASSY-FC-RTK,RTK高精度飞控总成,380.0,3450.45,0.13,已审核,"2026-04-11","2026-04-14",0.0,0.0,款到发货,陈璐,"2026-04-04",有效,PRID-000083,PRID-000083-1
POID-000061,PO-202604-0061,"2026-04-02",SUP-012,深圳大疆创新动力系统,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,410.0,1643.68,0.13,已入库,"2026-04-09","2026-04-12",673908.8,673908.8,款到发货,李航,"2026-04-02",有效,PRID-000085,PRID-000085-1
POID-000062,PO-202604-0062,"2026-04-04",SUP-020,格氏ace电池科技,M0024,ASSY-BAT-DUAL,双电池冗余系统,361.0,2864.82,0.13,已入库,"2026-04-11","2026-04-14",0.0,0.0,月结60天,周宁,"2026-04-04",有效,PRID-000086,PRID-000086-1
POID-000063,PO-202604-0063,"2026-04-04",SUP-043,深圳无线通信技术公司,M0025,PART-RC-IND,工业遥控器,361.0,506.09,0.13,已审核,"2026-04-11","2026-04-14",182698.49,182698.49,款到发货,陈璐,"2026-04-04",有效,PRID-000087,PRID-000087-1
POID-000064,PO-202604-0064,"2026-04-02",SUP-038,深圳农业喷洒系统公司,M0026,PART-SPRAYER-16L,"16升智能喷洒系统",410.0,4729.58,0.13,已入库,"2026-04-09","2026-04-12",0.0,0.0,月结60天,李航,"2026-04-02",执行中,PRID-000088,PRID-000088-1
POID-000065,PO-202604-0065,"2026-04-02",SUP-039,常州雷达测高仪制造厂,M0027,PART-RADAR-ALT,雷达测高仪,361.0,257.61,0.13,已入库,"2026-04-09","2026-04-13",66978.6,66978.6,"预付50%,货到付清",周宁,"2026-04-02",有效,PRID-000089,PRID-000089-1
POID-000066,PO-202604-0066,"2026-04-03",SUP-026,中航复合材料有限公司,M0054,COMP-FRAME-CF-IND,工业级碳纤维框架,361.0,2403.41,0.13,已入库,"2026-04-10","2026-04-13",0.0,0.0,款到发货,陈璐,"2026-04-03",有效,PRID-000090,PRID-000090-1
POID-000067,PO-202604-0067,"2026-04-04",SUP-025,东莞碳纤维复合材料厂,M0055,COMP-ARM-CF-TUBE-HD,加强型碳纤维机臂,1444.0,526.12,0.13,已入库,"2026-04-11","2026-04-14",589254.4,589254.4,月结30天,李航,"2026-04-04",有效,PRID-000091,PRID-000091-1
POID-000068,PO-202604-0068,"2026-04-04",SUP-027,深圳铝合金精密加工厂,M0056,COMP-MOTOR-MOUNT-AL-HD,重载铝合金电机座,1444.0,3448.31,0.13,已入库,"2026-04-11","2026-04-14",4124178.76,4124178.76,月结30天,周宁,"2026-04-04",有效,PRID-000092,PRID-000092-1
POID-000069,PO-202604-0069,"2026-04-02",SUP-026,中航复合材料有限公司,M0057,COMP-LG-AL-IND,工业铝合金起落架,722.0,4219.57,0.13,已入库,"2026-04-09","2026-04-12",0.0,0.0,"预付30%,货到付清",陈璐,"2026-04-02",有效,PRID-000093,PRID-000093-1
POID-000070,PO-202604-0070,"2026-04-04",SUP-040,深圳标准紧固件公司,M0058,PART-SCREW-M4-16,M4x16螺钉,14440.0,2450.38,0.13,部分到货,"2026-04-11","2026-04-14",6736094.62,2479784.56,款到发货,李航,"2026-04-04",有效,PRID-000094,PRID-000094-1
POID-000071,PO-202604-0071,"2026-04-04",SUP-009,深圳华强PCB制造厂,M0072,COMP-FC-PCB-R1,RTK飞控主板,361.0,2145.86,0.13,已审核,"2026-04-11","2026-04-14",0.0,0.0,月结30天,周宁,"2026-04-04",有效,PRID-000096,PRID-000096-1
POID-000072,PO-202604-0072,"2026-04-04",SUP-004,博世传感器技术有限公司,M0073,PART-IMU-ADIS16505,ADIS16505工业级IMU,361.0,1344.27,0.13,已入库,"2026-04-11","2026-04-14",0.0,0.0,月结30天,陈璐,"2026-04-04",有效,PRID-000097,PRID-000097-1
POID-000073,PO-202604-0073,"2026-04-03",SUP-008,和芯星通科技有限公司,M0074,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,410.0,3497.24,0.13,下达,"2026-04-10","2026-04-13",0.0,0.0,月结30天,李航,"2026-04-03",执行中,PRID-000098,PRID-000098-1
POID-000074,PO-202604-0074,"2026-04-02",SUP-044,移远通信股份有限公司,M0075,PART-4G-MODULE,"4G通信模块",380.0,677.4,0.13,已审核,"2026-04-09","2026-04-12",0.0,0.0,月结30天,周宁,"2026-04-02",有效,PRID-000099,PRID-000099-1
POID-000075,PO-202604-0075,"2026-04-04",SUP-011,T-Motor无刷电机有限公司,M0085,PART-MOTOR-4114-400KV,"4114 400KV高扭矩电机",2166.0,2665.32,0.13,已入库,"2026-04-11","2026-04-14",4968156.48,3467581.32,月结30天,陈璐,"2026-04-04",有效,PRID-000101,PRID-000101-1
POID-000076,PO-202604-0076,"2026-04-03",SUP-013,美国Castle电调公司,M0086,PART-ESC-50A-FOC,"50A FOC电调",2462.0,3336.05,0.13,已入库,"2026-04-10","2026-04-13",6101635.45,6101635.45,月结30天,李航,"2026-04-03",有效,PRID-000102,PRID-000102-1
POID-000077,PO-202604-0077,"2026-04-04",SUP-016,APC螺旋桨美国公司,M0087,PART-PROP-1755-CF,"1755碳纤维螺旋桨",2462.0,736.72,0.13,已入库,"2026-04-11","2026-04-14",1670144.24,1670144.24,月结30天,周宁,"2026-04-04",有效,PRID-000103,PRID-000103-1
POID-000078,PO-202604-0078,"2026-04-02",SUP-014,好盈电子科技有限公司,M0088,PART-CABLE-ESC-HD,加强型电调线,2462.0,1099.43,0.13,已入库,"2026-04-09","2026-04-12",2225246.32,978492.7,月结30天,陈璐,"2026-04-02",有效,PRID-000104,PRID-000104-1
POID-000079,PO-202604-0079,"2026-04-03",SUP-018,比亚迪电池有限公司,M0089,PART-BAT-6S-10000,"6S10000mAh智能电池",760.0,941.31,0.13,已入库,"2026-04-10","2026-04-13",641973.42,178848.9,月结30天,李航,"2026-04-03",有效,PRID-000105,PRID-000105-1
POID-000080,PO-202604-0080,"2026-04-03",SUP-020,格氏ace电池科技,M0090,COMP-BAT-MANAGER,双电池管理模块,410.0,277.82,0.13,已入库,"2026-04-10","2026-04-13",0.0,0.0,月结60天,周宁,"2026-04-03",有效,PRID-000106,PRID-000106-1
POID-000081,PO-202604-0081,"2026-04-02",SUP-020,格氏ace电池科技,M0091,COMP-BAT-MOUNT,电池固定架,410.0,1383.32,0.13,已入库,"2026-04-09","2026-04-12",0.0,0.0,月结30天,陈璐,"2026-04-02",有效,PRID-000107,PRID-000107-1
POID-000082,PO-202604-0082,"2026-04-03",SUP-003,意法半导体（ST）亚太区,M0108,PART-MCU-STM32H753,STM32H753双核芯片,361.0,393.07,0.13,已入库,"2026-04-10","2026-04-13",0.0,0.0,月结30天,李航,"2026-04-03",执行中,PRID-000108,PRID-000108-1
POID-000083,PO-202604-0083,"2026-04-04",SUP-001,芯源微电子股份有限公司,M0110,PART-FPGA-ICE40,ICE40 FPGA,410.0,1483.26,0.13,已审核,"2026-04-11","2026-04-14",0.0,0.0,"预付30%,货到付清",周宁,"2026-04-04",有效,PRID-000110,PRID-000110-1
POID-000084,PO-202604-0084,"2026-04-04",SUP-042,深圳线缆连接器公司,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,1520.0,782.89,0.13,已入库,"2026-04-11","2026-04-14",397708.12,0.0,款到发货,陈璐,"2026-04-04",有效,PRID-000111,PRID-000111-1
POID-000085,PO-202604-0085,"2026-04-03",SUP-030,江西钨业控股集团,M0121,RAW-NEODYMIUM,钕铁硼磁性材料,111.0,841.77,0.13,已审核,"2026-04-10","2026-04-13",0.0,0.0,款到发货,李航,"2026-04-03",有效,PRID-000112,PRID-000112-1
POID-000086,PO-202604-0086,"2026-04-03",SUP-027,深圳铝合金精密加工厂,M0123,RAW-AL-ALLOY,铝合金材料,616.0,1730.06,0.13,已入库,"2026-04-10","2026-04-13",1065716.96,0.0,款到发货,周宁,"2026-04-03",有效,PRID-000114,PRID-000114-1
POID-000087,PO-202604-0087,"2026-04-04",SUP-019,LG化学电池韩国,M0124,RAW-LIPO-CELL,锂聚合物电芯,253.0,717.09,0.13,已审核,"2026-04-11","2026-04-14",0.0,0.0,款到发货,陈璐,"2026-04-04",有效,PRID-000115,PRID-000115-1
POID-000088,PO-202604-0088,"2026-04-02",SUP-009,深圳华强PCB制造厂,M0116,PART-PCB-2L,"2层PCB板",361.0,3676.3,0.13,已入库,"2026-04-09","2026-04-12",0.0,0.0,"预付30%,货到付清",李航,"2026-04-02",有效,PRID-000116,PRID-000116-1
POID-000089,PO-202604-0089,"2026-04-04",SUP-002,德州仪器（TI）中国代理,M0117,PART-MOSFET-DUAL,双路MOSFET,722.0,4832.3,0.13,已入库,"2026-04-11","2026-04-14",2962199.9,2962199.9,月结30天,周宁,"2026-04-04",有效,PRID-000117,PRID-000117-1
POID-000090,PO-202604-0090,"2026-04-02",SUP-003,意法半导体（ST）亚太区,M0118,PART-MCU-STM32F103,STM32F103控制芯片,380.0,2578.58,0.13,已入库,"2026-04-09","2026-04-12",979860.4,979860.4,款到发货,陈璐,"2026-04-02",有效,PRID-000118,PRID-000118-1
POID-000091,PO-202604-0091,"2026-04-03",SUP-010,生益科技股份有限公司,M0125,RAW-FR4-CCL,FR4覆铜板,33.0,2450.61,0.13,下达,"2026-04-10","2026-04-13",0.0,0.0,款到发货,李航,"2026-04-03",执行中,PRID-000120,PRID-000120-1
POID-000092,PO-202605-0092,"2026-05-03",SUP-025,东莞碳纤维复合材料厂,M0020,ASSY-BODY-IND-01,工业级强化机身总成,570.0,2308.13,0.13,已审核,"2026-05-10","2026-05-13",0.0,0.0,月结30天,周宁,"2026-05-03",有效,PRID-000121,PRID-000121-1
POID-000093,PO-202605-0093,"2026-05-04",SUP-001,芯源微电子股份有限公司,M0021,ASSY-FC-RTK,RTK高精度飞控总成,648.0,3450.45,0.13,已审核,"2026-05-11","2026-05-14",0.0,0.0,款到发货,陈璐,"2026-05-04",有效,PRID-000122,PRID-000122-1
