"production_order_id","production_order_number","output_type","output_id","output_code","output_name","production_quantity","factory_id","factory_name","production_line","process_sequence","planned_start_date","planned_finish_date","work_order_status","priority","created_date","status","sourcebillnumber"
PO0000091,MO-202605-0091,Material,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,"460",FAC004,东莞天翼动力系统厂,动力总成线,"100","2026-05-05","2026-05-24",已下达,中,"2026-03-30",Active,MRP-202605-0031
PO0000092,MO-202605-0092,Material,M0072,COMP-FC-PCB-R1,RTK飞控主板,"460",FAC003,深圳天翼飞控电子厂,飞控SMT线,"100","2026-05-01","2026-05-18",已完工,中,"2026-03-30",Closed,MRP-202605-0036
PO0000093,MO-202604-0093,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,"247",FAC003,深圳天翼飞控电子厂,飞控组装线,"100","2026-04-03","2026-04-22",已完工,高,"2026-03-30",Closed,MRP-202604-0056
PO0000094,MO-202604-0094,Material,M0072,COMP-FC-PCB-R1,RTK飞控主板,"281",FAC003,深圳天翼飞控电子厂,飞控SMT线,"100","2026-04-03","2026-04-18",生产中,高,"2026-03-30",Active,MRP-202604-0065
PO0000095,MO-202604-0095,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,"380",FAC003,深圳天翼飞控电子厂,飞控组装线,"100","2026-04-03","2026-04-16",生产中,低,"2026-03-30",Active,MRP-202604-0100
PO0000096,MO-202604-0096,Material,M0055,COMP-ARM-CF-TUBE-HD,加强型碳纤维机臂,"1444",FAC002,深圳天翼机身制造厂,机身生产线1,"100","2026-04-03","2026-04-24",生产中,高,"2026-03-30",Active,MRP-202604-0108
PO0000097,MO-202604-0097,Material,M0056,COMP-MOTOR-MOUNT-AL-HD,重载铝合金电机座,"1444",FAC004,东莞天翼动力系统厂,动力总成线,"100","2026-04-03","2026-04-23",已完工,中,"2026-03-30",Closed,MRP-202604-0109
PO0000098,MO-202604-0098,Material,M0057,COMP-LG-AL-IND,工业铝合金起落架,"722",FAC002,深圳天翼机身制造厂,机身生产线1,"100","2026-04-06","2026-04-22",已下达,中,"2026-03-30",Active,MRP-202604-0110
PO0000099,MO-202604-0099,Material,M0072,COMP-FC-PCB-R1,RTK飞控主板,"361",FAC003,深圳天翼飞控电子厂,飞控SMT线,"100","2026-04-03","2026-04-16",生产中,中,"2026-03-30",Active,MRP-202604-0113
PO0000100,MO-202604-0100,Material,M0090,COMP-BAT-MANAGER,双电池管理模块,"410",FAC005,惠州天翼电池组装厂,电池PACK线1,"100","2026-04-02","2026-04-17",已关闭,低,"2026-03-30",Closed,MRP-202604-0123
PO0000101,MO-202605-0101,Material,M0057,COMP-LG-AL-IND,工业铝合金起落架,"1200",FAC002,深圳天翼机身制造厂,机身生产线1,"100","2026-05-06","2026-05-22",已下达,中,"2026-03-30",Active,MRP-202605-0149
PO0000102,MO-202605-0102,Material,M0090,COMP-BAT-MANAGER,双电池管理模块,"648",FAC005,惠州天翼电池组装厂,电池PACK线1,"100","2026-05-02","2026-05-21",生产中,低,"2026-03-30",Active,MRP-202605-0162
PO202305011,MO-202501-202305011,Product,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,"2",FAC001,深圳天翼无人机总装厂,总装线B,"100","2025-01-07","2025-01-18",已下达,中,"2025-01-03",Active,MRP-202501-9001
PO202305012,MO-202501-202305012,Product,P0004,UAV-XF-PRO-B,UAV-XF-PRO-B,"6",FAC001,深圳天翼无人机总装厂,总装线B,"100","2025-01-04","2025-01-16",已关闭,低,"2025-01-06",Closed,MRP-202501-9002
PO202305013,MO-202501-202305013,Product,P0007,UAV-JF-ENT-SV,UAV-JF-ENT-SV,"5",FAC001,深圳天翼无人机总装厂,总装线A,"100","2025-01-05","2025-01-18",已关闭,高,"2025-01-07",Closed,MRP-202501-9003
PO202305014,MO-202501-202305014,Product,P0003,UAV-XF-PRO-A,UAV-XF-PRO-A,"15",FAC001,深圳天翼无人机总装厂,总装线B,"100","2025-01-02","2025-01-16",已关闭,中,"2025-01-04",Closed,MRP-202501-9004
PO202305015,MO-202501-202305015,Product,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,"10",FAC001,深圳天翼无人机总装厂,总装线B,"100","2025-01-10","2025-01-20",已下达,低,"2025-01-06",Active,MRP-202501-9005
PO202305016,MO-202501-202305016,Product,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,"8",FAC001,深圳天翼无人机总装厂,总装线A,"100","2025-01-05","2025-01-16",生产中,高,"2025-01-07",Active,MRP-202501-9006
PO202305017,MO-202501-202305017,Product,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,"7",FAC001,深圳天翼无人机总装厂,总装线C,"100","2025-01-12","2025-01-24",已下达,中,"2025-01-08",Active,MRP-202501-9007
PO202305018,MO-202501-202305018,Product,P0003,UAV-XF-PRO-A,UAV-XF-PRO-A,"4",FAC001,深圳天翼无人机总装厂,总装线B,"100","2025-01-09","2025-01-22",已下达,低,"2025-01-05",Active,MRP-202501-9008
PO202305019,MO-202501-202305019,Product,P0005,UAV-XF-PRO-C,UAV-XF-PRO-C,"1",FAC001,深圳天翼无人机总装厂,总装线C,"100","2025-01-11","2025-01-25",生产中,高,"2025-01-07",Active,MRP-202501-9009
PO202305020,MO-202501-202305020,Product,P0003,UAV-XF-PRO-A,UAV-XF-PRO-A,"4",FAC001,深圳天翼无人机总装厂,总装线B,"100","2025-01-13","2025-01-23",已关闭,中,"2025-01-09",Closed,MRP-202501-9010
PO202305021,MO-202501-202305021,Product,P0007,UAV-JF-ENT-SV,UAV-JF-ENT-SV,"7",FAC001,深圳天翼无人机总装厂,总装线A,"100","2025-01-14","2025-01-25",已关闭,低,"2025-01-10",Closed,MRP-202501-9011
PO202305022,MO-202501-202305022,Product,P0004,UAV-XF-PRO-B,UAV-XF-PRO-B,"8",FAC001,深圳天翼无人机总装厂,总装线B,"100","2025-01-11","2025-01-23",已关闭,高,"2025-01-07",Closed,MRP-202501-9012
PO202305023,MO-202501-202305023,Product,P0008,UAV-JF-ENT-SC,UAV-JF-ENT-SC,"9",FAC001,深圳天翼无人机总装厂,总装线C,"100","2025-01-12","2025-01-25",已下达,中,"2025-01-08",Active,MRP-202501-9013
PO202305024,MO-202501-202305024,Product,P0005,UAV-XF-PRO-C,UAV-XF-PRO-C,"9",FAC001,深圳天翼无人机总装厂,总装线C,"100","2025-01-13","2025-01-27",已下达,低,"2025-01-09",Active,MRP-202501-9014
PO202305025,MO-202305011,Material,M0019,ASSY-BAT-DUAL,双电池组装成品,"165",FAC001,深圳天翼无人机总装厂,电池PACK线,"10-20-30","2025-04-01","2025-05-20",已完工,正常,"2025-04-01",Closed,""
PO202305026,MO-HIST-202301-001,Product,P0009,UAV-BF-IND-H20,霸风20L植保无人机,"1425",F001,深圳天翼主工厂,LINE-01,"100","2023-01-01","2023-03-31",已关闭,正常,"2023-01-01",Closed,""
PO202305027,MO-HIST-202301-002,Product,P0010,UAV-BF-IND-H30,霸风30L植保无人机,"1634",F001,深圳天翼主工厂,LINE-01,"100","2023-01-01","2023-03-31",已关闭,正常,"2023-01-01",Closed,""
PO202305028,MO-HIST-202301-003,Product,P0006,UAV-JF-ENT-AG,疾风农业企业版,"1557",F001,深圳天翼主工厂,LINE-01,"100","2023-01-01","2023-03-31",已关闭,正常,"2023-01-01",Closed,""
PO202305029,MO-HIST-202301-004,Product,P0008,UAV-JF-ENT-SC,疾风安防企业版,"353",F001,深圳天翼主工厂,LINE-01,"100","2023-01-01","2023-03-31",已关闭,正常,"2023-01-01",Closed,""
PO202305030,MO-HIST-202301-005,Product,P0007,UAV-JF-ENT-SV,疾风测绘企业版,"1002",F001,深圳天翼主工厂,LINE-01,"100","2023-01-01","2023-03-31",已关闭,正常,"2023-01-01",Closed,""
PO202305031,MO-HIST-202301-006,Product,P0002,UAV-XF-BASIC-PLUS,旋风基础增强版整机,"291",F001,深圳天翼主工厂,LINE-01,"100","2023-01-01","2023-03-31",已关闭,正常,"2023-01-01",Closed,""
PO202305032,MO-HIST-202301-007,Product,P0003,UAV-XF-PRO-A,旋风探索版整机,"1807",F001,深圳天翼主工厂,LINE-01,"100","2023-01-01","2023-03-31",已关闭,正常,"2023-01-01",Closed,""
PO202305033,MO-HIST-202301-008,Product,P0004,UAV-XF-PRO-B,巡风探索版整机,"2462",F001,深圳天翼主工厂,LINE-01,"100","2023-01-01","2023-03-31",已关闭,正常,"2023-01-01",Closed,""
PO202305034,MO-HIST-202301-009,Product,P0005,UAV-XF-PRO-C,旋风专业版整机,"376",F001,深圳天翼主工厂,LINE-01,"100","2023-01-01","2023-03-31",已关闭,正常,"2023-01-01",Closed,""
