"material_requisition_id","requisition_number","requisition_type","material_id","material_code","material_name","warehouse_id","factory_id","requested_quantity","issued_quantity","unit","requisition_date","issue_date","production_order_number","purpose","status","created_date"
MR-AUTO-0066,REQ-MO-202605-0087-02,生产领料,M0073,PART-IMU-ADIS16505,ADIS16505工业级IMU,WH004,FAC003,483.0,483.0,个,"2026-05-01","2026-05-03",MO-202605-0087,生产RTK高精度飞控总成,已发料,"2026-04-30"
MR-AUTO-0067,REQ-MO-202605-0087-03,生产领料,M0074,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,WH004,FAC003,483.0,483.0,个,"2026-05-01","2026-05-03",MO-202605-0087,生产RTK高精度飞控总成,已发料,"2026-04-30"
MR-AUTO-0068,REQ-MO-202605-0087-04,生产领料,M0075,PART-4G-MODULE,"4G通信模块",WH004,FAC003,483.0,483.0,个,"2026-05-01","2026-05-03",MO-202605-0087,生产RTK高精度飞控总成,已发料,"2026-04-30"
MR-AUTO-0069,REQ-MO-202605-0087-05,生产领料,M0076,COMP-FC-CASE-AL-IND,工业级铝合金外壳,WH004,FAC003,483.0,483.0,套,"2026-05-01","2026-05-03",MO-202605-0087,生产RTK高精度飞控总成,已发料,"2026-04-30"
MR-AUTO-0070,REQ-MO-202605-0088-01,生产领料,M0085,PART-MOTOR-4114-400KV,"4114 400KV高扭矩电机",WH004,FAC004,2760.0,2760.0,个,"2026-05-01","2026-05-03",MO-202605-0088,生产高扭矩动力系统总成,已发料,"2026-04-30"
MR-AUTO-0071,REQ-MO-202605-0088-02,生产领料,M0086,PART-ESC-50A-FOC,"50A FOC电调",WH004,FAC004,2760.0,2760.0,个,"2026-05-01","2026-05-03",MO-202605-0088,生产高扭矩动力系统总成,已发料,"2026-04-30"
MR-AUTO-0072,REQ-MO-202605-0088-03,生产领料,M0087,PART-PROP-1755-CF,"1755碳纤维螺旋桨",WH004,FAC004,5520.0,5520.0,片,"2026-05-01","2026-05-03",MO-202605-0088,生产高扭矩动力系统总成,已发料,"2026-04-30"
MR-AUTO-0073,REQ-MO-202605-0088-04,生产领料,M0088,PART-CABLE-ESC-HD,加强型电调线,WH004,FAC004,2760.0,2760.0,根,"2026-05-01","2026-05-03",MO-202605-0088,生产高扭矩动力系统总成,已发料,"2026-04-30"
MR-AUTO-0074,REQ-MO-202604-0089-01,生产领料,M0072,COMP-FC-PCB-R1,RTK飞控主板,WH004,FAC003,247.0,247.0,块,"2026-04-01","2026-04-03",MO-202604-0089,生产RTK高精度飞控总成,已发料,"2026-03-31"
MR-AUTO-0075,REQ-MO-202604-0089-02,生产领料,M0073,PART-IMU-ADIS16505,ADIS16505工业级IMU,WH004,FAC003,247.0,247.0,个,"2026-04-01","2026-04-03",MO-202604-0089,生产RTK高精度飞控总成,已发料,"2026-03-31"
MR-AUTO-0076,REQ-MO-202604-0089-03,生产领料,M0074,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,WH004,FAC003,247.0,247.0,个,"2026-04-01","2026-04-03",MO-202604-0089,生产RTK高精度飞控总成,已发料,"2026-03-31"
MR-AUTO-0077,REQ-MO-202604-0089-04,生产领料,M0075,PART-4G-MODULE,"4G通信模块",WH004,FAC003,247.0,247.0,个,"2026-04-01","2026-04-03",MO-202604-0089,生产RTK高精度飞控总成,已发料,"2026-03-31"
MR-AUTO-0078,REQ-MO-202604-0089-05,生产领料,M0076,COMP-FC-CASE-AL-IND,工业级铝合金外壳,WH004,FAC003,247.0,247.0,套,"2026-04-01","2026-04-03",MO-202604-0089,生产RTK高精度飞控总成,已发料,"2026-03-31"
MR-AUTO-0088,REQ-MO-202605-0092-01,生产领料,M0108,PART-MCU-STM32H753,STM32H753双核芯片,WH004,FAC003,460.0,460.0,颗,"2026-04-30","2026-05-02",MO-202605-0092,生产RTK飞控主板,已发料,"2026-04-29"
MR-AUTO-0089,REQ-MO-202605-0092-02,生产领料,M0109,PART-PCB-FC-8L,"8层飞控PCB板",WH004,FAC003,460.0,460.0,块,"2026-04-30","2026-05-02",MO-202605-0092,生产RTK飞控主板,已发料,"2026-04-29"
MR-AUTO-0090,REQ-MO-202605-0092-03,生产领料,M0110,PART-FPGA-ICE40,ICE40 FPGA,WH004,FAC003,460.0,460.0,颗,"2026-04-30","2026-05-02",MO-202605-0092,生产RTK飞控主板,已发料,"2026-04-29"
MR-AUTO-0091,REQ-MO-202605-0092-04,生产领料,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,WH004,FAC003,1840.0,1840.0,个,"2026-04-30","2026-05-02",MO-202605-0092,生产RTK飞控主板,已发料,"2026-04-29"
MR-AUTO-0092,REQ-MO-202604-0093-01,生产领料,M0072,COMP-FC-PCB-R1,RTK飞控主板,WH004,FAC003,247.0,247.0,块,"2026-03-31","2026-04-02",MO-202604-0093,生产RTK高精度飞控总成,已发料,"2026-03-30"
MR-AUTO-0093,REQ-MO-202604-0093-02,生产领料,M0073,PART-IMU-ADIS16505,ADIS16505工业级IMU,WH004,FAC003,247.0,247.0,个,"2026-03-31","2026-04-02",MO-202604-0093,生产RTK高精度飞控总成,已发料,"2026-03-30"
MR-AUTO-0094,REQ-MO-202604-0093-03,生产领料,M0074,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,WH004,FAC003,247.0,247.0,个,"2026-03-31","2026-04-02",MO-202604-0093,生产RTK高精度飞控总成,已发料,"2026-03-30"
MR-AUTO-0095,REQ-MO-202604-0093-04,生产领料,M0075,PART-4G-MODULE,"4G通信模块",WH004,FAC003,247.0,247.0,个,"2026-03-31","2026-04-02",MO-202604-0093,生产RTK高精度飞控总成,已发料,"2026-03-30"
MR-AUTO-0096,REQ-MO-202604-0093-05,生产领料,M0076,COMP-FC-CASE-AL-IND,工业级铝合金外壳,WH004,FAC003,247.0,247.0,套,"2026-03-31","2026-04-02",MO-202604-0093,生产RTK高精度飞控总成,已发料,"2026-03-30"
MR-AUTO-0097,REQ-MO-202604-0094-01,生产领料,M0108,PART-MCU-STM32H753,STM32H753双核芯片,WH004,FAC003,281.0,281.0,颗,"2026-03-31","2026-04-02",MO-202604-0094,生产RTK飞控主板,已发料,"2026-03-30"
MR-AUTO-0098,REQ-MO-202604-0094-02,生产领料,M0109,PART-PCB-FC-8L,"8层飞控PCB板",WH004,FAC003,281.0,281.0,块,"2026-03-31","2026-04-02",MO-202604-0094,生产RTK飞控主板,已发料,"2026-03-30"
MR-AUTO-0099,REQ-MO-202604-0094-03,生产领料,M0110,PART-FPGA-ICE40,ICE40 FPGA,WH004,FAC003,281.0,281.0,颗,"2026-03-31","2026-04-02",MO-202604-0094,生产RTK飞控主板,已发料,"2026-03-30"
