"sales_order_id","sales_order_number","document_date","customer_id","customer_name","line_number","product_id","product_code","product_name","quantity","unit","standard_price","discount_rate","actual_price","subtotal_amount","order_status","document_status","transaction_type","sales_department","salesperson","planned_delivery_date","is_urgent","contract_number","project_name","end_customer","quotation_number","notes","created_date","status"
SO0000011,SO-202302-00005,"2025-02-27","10002",西安沃土植保科技有限公司,30,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,11,台,58999,"4.8%",56167,617838,已发货,已确认,项目销售,销售一部,周杰,"2025-03-19",否,HT-2023-182,"2023年重庆市农业项目",西安沃土植保科技有限公司,QT-202302-00389,"","2025-02-27",Active
SO0000012,SO-202412-00006,"2025-12-15","10002",西安沃土植保科技有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,11,台,22999,"7.6%",21251,233762,已发货,已确认,项目销售,销售一部,钱进,"2025-12-18",否,HT-2024-486,重庆市种植大户应用项目,西安沃土植保科技有限公司,QT-202412-00517,"","2025-12-15",Active
SO0000013,SO-202412-00006,"2025-12-15","10002",西安沃土植保科技有限公司,20,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,10,台,58999,"6.6%",55105,551051,已发货,已确认,项目销售,销售一部,钱进,"2025-12-18",否,HT-2024-486,重庆市种植大户应用项目,西安沃土植保科技有限公司,QT-202412-00517,"","2025-12-15",Active
SO0000014,SO-202412-00006,"2025-12-15","10002",西安沃土植保科技有限公司,30,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,5,台,45999,"0.0%",45999,229995,已发货,已确认,项目销售,销售一部,钱进,"2025-12-18",否,HT-2024-486,重庆市种植大户应用项目,西安沃土植保科技有限公司,QT-202412-00517,"","2025-12-15",Active
SO0000015,SO-202405-00007,"2025-05-19","10002",西安沃土植保科技有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,5,台,22999,"0.0%",22999,114995,已发货,已确认,直销,销售一部,谢文,"2025-07-01",是,"","",西安沃土植保科技有限公司,QT-202405-00531,"","2025-05-19",Active
SO0000016,SO-202405-00007,"2025-05-19","10002",西安沃土植保科技有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,2,台,45999,"0.0%",45999,91998,已发货,已确认,直销,销售一部,谢文,"2025-07-09",是,"","",西安沃土植保科技有限公司,QT-202405-00531,"","2025-05-19",Active
SO0000017,SO-202305-00008,"2025-05-02","10002",西安沃土植保科技有限公司,10,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,11,台,58999,"4.5%",56344,619784,已发货,已确认,项目销售,销售一部,孙丽,"2025-06-28",否,HT-2023-368,"2023年重庆市农业项目",西安沃土植保科技有限公司,QT-202305-00008,"","2025-05-02",Active
SO0000018,SO-202305-00008,"2025-05-02","10002",西安沃土植保科技有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,6,台,45999,"0.0%",45999,275994,已发货,已确认,项目销售,销售一部,孙丽,"2025-06-01",否,HT-2023-368,"2023年重庆市农业项目",西安沃土植保科技有限公司,QT-202305-00008,"","2025-05-02",Active
SO0000019,SO-202305-00008,"2025-05-02","10002",西安沃土植保科技有限公司,30,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,3,台,22999,"0.0%",22999,68997,已发货,已确认,项目销售,销售一部,孙丽,"2025-05-29",否,HT-2023-368,"2023年重庆市农业项目",西安沃土植保科技有限公司,QT-202305-00008,"","2025-05-02",Active
SO0000020,SO-202305-00009,"2025-05-26","10003",青岛田园农科有限公司,10,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,11,台,45999,"5.3%",43561,479172,已发货,已确认,项目销售,销售一部,赵敏,"2025-06-27",否,HT-2023-192,沈阳市种植大户应用项目,青岛田园农科有限公司,QT-202305-00009,"","2025-05-26",Active
SO0000021,SO-202305-00009,"2025-05-26","10003",青岛田园农科有限公司,20,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,5,台,22999,"0.0%",22999,114995,已发货,已确认,项目销售,销售一部,赵敏,"2025-07-19",否,HT-2023-192,沈阳市种植大户应用项目,青岛田园农科有限公司,QT-202305-00009,"","2025-05-26",Active
SO0000022,SO-202305-00009,"2025-05-26","10003",青岛田园农科有限公司,30,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,18,台,58999,"9.4%",53453,962156,已发货,已确认,项目销售,销售一部,赵敏,"2025-06-26",否,HT-2023-192,沈阳市种植大户应用项目,青岛田园农科有限公司,QT-202305-00009,"","2025-05-26",Active
SO0000023,SO-202303-00010,"2025-03-19","10003",青岛田园农科有限公司,10,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,19,台,45999,"9.3%",41721,792701,已取消,已取消,项目销售,销售一部,蒋敏,"2025-04-19",否,HT-2023-090,沈阳市种植大户应用项目,青岛田园农科有限公司,QT-202303-00593,"","2025-03-19",Active
SO0000024,SO-202303-00010,"2025-03-19","10003",青岛田园农科有限公司,20,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,13,台,22999,"6.6%",21481,279254,已取消,已取消,项目销售,销售一部,蒋敏,"2025-05-17",否,HT-2023-090,沈阳市种植大户应用项目,青岛田园农科有限公司,QT-202303-00593,"","2025-03-19",Active
SO0000025,SO-202303-00010,"2025-03-19","10003",青岛田园农科有限公司,30,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,9,台,58999,"0.0%",58999,530991,已取消,已取消,项目销售,销售一部,蒋敏,"2025-05-07",否,HT-2023-090,沈阳市种植大户应用项目,青岛田园农科有限公司,QT-202303-00593,"","2025-03-19",Active
SO0000026,SO-202401-00011,"2025-01-23","10003",青岛田园农科有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,14,台,22999,"7.0%",21389,299447,已发货,已确认,项目销售,销售一部,郑海,"2025-03-20",否,HT-2024-374,"2024年沈阳市农业项目",青岛田园农科有限公司,QT-202401-00564,"","2025-01-23",Active
SO0000027,SO-202401-00011,"2025-01-23","10003",青岛田园农科有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,10,台,45999,"6.6%",42963,429631,已发货,已确认,项目销售,销售一部,郑海,"2025-02-16",否,HT-2024-374,"2024年沈阳市农业项目",青岛田园农科有限公司,QT-202401-00564,"","2025-01-23",Active
SO0000028,SO-202401-00011,"2025-01-23","10003",青岛田园农科有限公司,30,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,15,台,58999,"2.1%",57760,866400,已发货,已确认,项目销售,销售一部,郑海,"2025-03-05",否,HT-2024-374,"2024年沈阳市农业项目",青岛田园农科有限公司,QT-202401-00564,"","2025-01-23",Active
SO0000029,SO-202405-00012,"2025-05-17","10003",青岛田园农科有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,1,台,22999,"0.0%",22999,22999,已发货,已确认,直销,销售一部,贾斌,"2025-06-18",否,"","",青岛田园农科有限公司,QT-202405-00532,"","2025-05-17",Active
SO0000030,SO-202405-00012,"2025-05-17","10003",青岛田园农科有限公司,20,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,1,台,58999,"0.0%",58999,58999,已发货,已确认,直销,销售一部,贾斌,"2025-07-05",否,"","",青岛田园农科有限公司,QT-202405-00532,"","2025-05-17",Active
SO0000031,SO-202404-00013,"2025-04-14","10003",青岛田园农科有限公司,10,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,7,台,58999,"0.0%",58999,412993,已发货,已确认,项目销售,销售一部,陈静,"2025-05-20",否,HT-2024-363,沈阳市种植大户应用项目,青岛田园农科有限公司,QT-202404-00013,"","2025-04-14",Active
SO0000032,SO-202404-00013,"2025-04-14","10003",青岛田园农科有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,7,台,45999,"0.0%",45999,321993,已发货,已确认,项目销售,销售一部,陈静,"2025-05-22",否,HT-2024-363,沈阳市种植大户应用项目,青岛田园农科有限公司,QT-202404-00013,"","2025-04-14",Active
SO0000033,SO-202305-00014,"2025-05-29","10003",青岛田园农科有限公司,10,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,2,台,45999,"0.0%",45999,91998,已发货,已确认,直销,销售一部,钱进,"2025-06-30",否,"","",青岛田园农科有限公司,QT-202305-00599,"","2025-05-29",Active
SO0000034,SO-202305-00014,"2025-05-29","10003",青岛田园农科有限公司,20,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,1,台,22999,"0.0%",22999,22999,已发货,已确认,直销,销售一部,钱进,"2025-06-19",否,"","",青岛田园农科有限公司,QT-202305-00599,"","2025-05-29",Active
SO0000035,SO-202403-00015,"2025-03-22","10003",青岛田园农科有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,1,台,22999,"0.0%",22999,22999,已发货,已确认,直销,销售一部,姚强,"2025-04-13",否,"","",青岛田园农科有限公司,QT-202403-00541,"","2025-03-22",Active
SO0000036,SO-202403-00015,"2025-03-22","10003",青岛田园农科有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,2,台,45999,"0.0%",45999,91998,已发货,已确认,直销,销售一部,姚强,"2025-05-09",否,"","",青岛田园农科有限公司,QT-202403-00541,"","2025-03-22",Active
SO0000037,SO-202303-00016,"2025-03-11","10004",上海绿野农业服务有限公司,10,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,1,台,58999,"0.0%",58999,58999,已发货,已确认,直销,销售一部,郑海,"2025-04-28",否,"","",上海绿野农业服务有限公司,QT-202303-00016,"","2025-03-11",Active
SO0000038,SO-202303-00016,"2025-03-11","10004",上海绿野农业服务有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,3,台,45999,"0.0%",45999,137997,已发货,已确认,直销,销售一部,郑海,"2025-05-09",否,"","",上海绿野农业服务有限公司,QT-202303-00016,"","2025-03-11",Active
SO0000039,SO-202303-00017,"2025-03-11","10004",上海绿野农业服务有限公司,10,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,6,台,58999,"0.0%",58999,353994,已取消,已取消,项目销售,销售一部,孙丽,"2025-04-05",否,HT-2023-361,"2023年苏州市农业项目",上海绿野农业服务有限公司,QT-202303-00017,"","2025-03-11",Active
SO0000040,SO-202303-00017,"2025-03-11","10004",上海绿野农业服务有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,15,台,45999,"2.4%",44895,673425,已取消,已取消,项目销售,销售一部,孙丽,"2025-04-19",否,HT-2023-361,"2023年苏州市农业项目",上海绿野农业服务有限公司,QT-202303-00017,"","2025-03-11",Active
SO0000041,SO-202303-00017,"2025-03-11","10004",上海绿野农业服务有限公司,30,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,5,台,22999,"0.0%",22999,114995,已取消,已取消,项目销售,销售一部,孙丽,"2025-04-17",否,HT-2023-361,"2023年苏州市农业项目",上海绿野农业服务有限公司,QT-202303-00017,"","2025-03-11",Active
SO0000042,SO-202403-00018,"2025-03-13","10005",西安惠农农科科技有限公司,10,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,5,台,58999,"12.4%",51683,258416,已发货,已确认,直销,销售一部,杨帆,"2025-05-10",否,"","",西安惠农农科科技有限公司,QT-202403-00018,"","2025-03-13",Active
SO0000043,SO-202403-00018,"2025-03-13","10005",西安惠农农科科技有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,5,台,45999,"8.4%",42135,210675,已发货,已确认,直销,销售一部,杨帆,"2025-04-06",否,"","",西安惠农农科科技有限公司,QT-202403-00018,"","2025-03-13",Active
SO0000044,SO-202403-00018,"2025-03-13","10005",西安惠农农科科技有限公司,30,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,9,台,22999,"9.3%",20860,187741,已发货,已确认,直销,销售一部,杨帆,"2025-04-14",否,"","",西安惠农农科科技有限公司,QT-202403-00018,"","2025-03-13",Active
SO0000045,SO-202403-00019,"2025-03-07","10005",西安惠农农科科技有限公司,10,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,12,台,58999,"8.2%",54161,649933,已发货,已确认,项目销售,销售一部,袁琳,"2025-04-17",否,HT-2024-045,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202403-00019,"","2025-03-07",Active
SO0000046,SO-202403-00019,"2025-03-07","10005",西安惠农农科科技有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,19,台,45999,"13.2%",39927,758615,已发货,已确认,项目销售,销售一部,袁琳,"2025-04-13",否,HT-2024-045,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202403-00019,"","2025-03-07",Active
SO0000047,SO-202304-00020,"2025-04-08","10005",西安惠农农科科技有限公司,10,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,9,台,58999,"9.8%",53217,478954,已发货,已确认,直销,销售一部,姚强,"2025-06-07",否,"","",西安惠农农科科技有限公司,QT-202303-00618,"","2025-04-08",Active
SO0000048,SO-202304-00020,"2025-04-08","10005",西安惠农农科科技有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,6,台,45999,"11.9%",40525,243151,已发货,已确认,直销,销售一部,姚强,"2025-04-28",否,"","",西安惠农农科科技有限公司,QT-202303-00618,"","2025-04-08",Active
SO0000049,SO-202304-00020,"2025-04-08","10005",西安惠农农科科技有限公司,30,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,7,台,22999,"10.9%",20492,143445,已发货,已确认,直销,销售一部,姚强,"2025-05-13",否,"","",西安惠农农科科技有限公司,QT-202303-00618,"","2025-04-08",Active
SO0000050,SO-202404-00021,"2025-04-17","10005",西安惠农农科科技有限公司,10,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,7,台,58999,"7.7%",54456,381193,已发货,已确认,项目销售,销售一部,钱进,"2025-05-07",否,HT-2024-429,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202404-00528,"","2025-04-17",Active
SO0000051,SO-202404-00021,"2025-04-17","10005",西安惠农农科科技有限公司,20,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,5,台,22999,"9.2%",20883,104415,已发货,已确认,项目销售,销售一部,钱进,"2025-05-07",否,HT-2024-429,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202404-00528,"","2025-04-17",Active
SO0000052,SO-202404-00022,"2025-04-14","10005",西安惠农农科科技有限公司,10,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,18,台,58999,"8.2%",54161,974899,已发货,已确认,项目销售,销售一部,袁琳,"2025-05-07",否,HT-2024-495,株洲市种植大户应用项目,西安惠农农科科技有限公司,QT-202404-00529,"","2025-04-14",Active
SO0000053,SO-202404-00022,"2025-04-14","10005",西安惠农农科科技有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,20,台,45999,"10.0%",41399,827982,已发货,已确认,项目销售,销售一部,袁琳,"2025-06-11",否,HT-2024-495,株洲市种植大户应用项目,西安惠农农科科技有限公司,QT-202404-00529,"","2025-04-14",Active
SO0000054,SO-202404-00022,"2025-04-14","10005",西安惠农农科科技有限公司,30,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,13,台,22999,"6.1%",21596,280749,已发货,已确认,项目销售,销售一部,袁琳,"2025-06-12",否,HT-2024-495,株洲市种植大户应用项目,西安惠农农科科技有限公司,QT-202404-00529,"","2025-04-14",Active
SO0000055,SO-202403-00023,"2025-03-11","10005",西安惠农农科科技有限公司,10,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,11,台,45999,"5.9%",43285,476136,已发货,已确认,项目销售,销售一部,李娜,"2025-03-26",否,HT-2024-318,"2024年株洲市农业项目",西安惠农农科科技有限公司,QT-202403-00542,"","2025-03-11",Active
SO0000056,SO-202403-00023,"2025-03-11","10005",西安惠农农科科技有限公司,20,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,14,台,22999,"10.8%",20515,287212,已发货,已确认,项目销售,销售一部,李娜,"2025-04-29",否,HT-2024-318,"2024年株洲市农业项目",西安惠农农科科技有限公司,QT-202403-00542,"","2025-03-11",Active
SO0000057,SO-202306-00024,"2025-06-21","10005",西安惠农农科科技有限公司,10,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,10,台,45999,"5.4%",43515,435151,已发货,已确认,直销,销售一部,杨帆,"2025-08-18",否,"","",西安惠农农科科技有限公司,QT-202306-00024,"","2025-06-21",Active
SO0000058,SO-202306-00024,"2025-06-21","10005",西安惠农农科科技有限公司,20,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,6,台,22999,"13.3%",19940,119641,已发货,已确认,直销,销售一部,杨帆,"2025-07-29",否,"","",西安惠农农科科技有限公司,QT-202306-00024,"","2025-06-21",Active
SO0000059,SO-202306-00024,"2025-06-21","10005",西安惠农农科科技有限公司,30,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,5,台,58999,"9.9%",53158,265791,已发货,已确认,直销,销售一部,杨帆,"2025-07-09",否,"","",西安惠农农科科技有限公司,QT-202306-00024,"","2025-06-21",Active
SO0000060,SO-202304-00025,"2025-04-11","10005",西安惠农农科科技有限公司,10,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,16,台,45999,"5.3%",43561,696977,已发货,已确认,项目销售,销售一部,王强,"2025-05-17",否,HT-2023-235,"2023年株洲市农业项目",西安惠农农科科技有限公司,QT-202304-00025,"","2025-04-11",Active
SO0000061,SO-202304-00025,"2025-04-11","10005",西安惠农农科科技有限公司,20,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,12,台,58999,"6.7%",55046,660553,已发货,已确认,项目销售,销售一部,王强,"2025-05-03",否,HT-2023-235,"2023年株洲市农业项目",西安惠农农科科技有限公司,QT-202304-00025,"","2025-04-11",Active
SO0000062,SO-202304-00025,"2025-04-11","10005",西安惠农农科科技有限公司,30,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,7,台,22999,"12.0%",20239,141674,已发货,已确认,项目销售,销售一部,王强,"2025-05-14",否,HT-2023-235,"2023年株洲市农业项目",西安惠农农科科技有限公司,QT-202304-00025,"","2025-04-11",Active
SO0000063,SO-202305-00026,"2025-05-15","10005",西安惠农农科科技有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,6,台,22999,"5.8%",21665,129990,已发货,已确认,项目销售,销售一部,赵敏,"2025-07-10",否,HT-2023-177,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202305-00600,"","2025-05-15",Active
SO0000064,SO-202305-00026,"2025-05-15","10005",西安惠农农科科技有限公司,20,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,6,台,58999,"5.6%",55695,334170,已发货,已确认,项目销售,销售一部,赵敏,"2025-07-08",否,HT-2023-177,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202305-00600,"","2025-05-15",Active
SO0000065,SO-202305-00026,"2025-05-15","10005",西安惠农农科科技有限公司,30,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,20,台,45999,"14.4%",39375,787503,已发货,已确认,项目销售,销售一部,赵敏,"2025-05-30",否,HT-2023-177,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202305-00600,"","2025-05-15",Active
SO0000066,SO-202305-00027,"2025-05-01","10005",西安惠农农科科技有限公司,10,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,8,台,45999,"14.9%",39145,313161,已发货,已确认,项目销售,销售一部,陈静,"2025-05-27",否,HT-2023-020,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202305-00027,"","2025-05-01",Active
SO0000067,SO-202305-00027,"2025-05-01","10005",西安惠农农科科技有限公司,20,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,17,台,58999,"11.5%",52214,887640,已发货,已确认,项目销售,销售一部,陈静,"2025-05-22",否,HT-2023-020,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202305-00027,"","2025-05-01",Active
SO0000068,SO-202305-00027,"2025-05-01","10005",西安惠农农科科技有限公司,30,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,9,台,22999,"10.1%",20676,186085,已发货,已确认,项目销售,销售一部,陈静,"2025-05-21",否,HT-2023-020,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202305-00027,"","2025-05-01",Active
SO0000069,SO-202310-00028,"2025-10-03","10005",西安惠农农科科技有限公司,10,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,5,台,45999,"13.4%",39835,199176,已发货,已确认,项目销售,销售一部,钱进,"2025-11-29",否,HT-2023-252,株洲市种植大户应用项目,西安惠农农科科技有限公司,QT-202309-00541,"","2025-10-03",Active
SO0000070,SO-202310-00028,"2025-10-03","10005",西安惠农农科科技有限公司,20,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,7,台,22999,"12.7%",20078,140547,已发货,已确认,项目销售,销售一部,钱进,"2025-11-12",否,HT-2023-252,株洲市种植大户应用项目,西安惠农农科科技有限公司,QT-202309-00541,"","2025-10-03",Active
SO0000071,SO-202310-00028,"2025-10-03","10005",西安惠农农科科技有限公司,30,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,16,台,58999,"12.0%",51919,830706,已发货,已确认,项目销售,销售一部,钱进,"2025-11-14",否,HT-2023-252,株洲市种植大户应用项目,西安惠农农科科技有限公司,QT-202309-00541,"","2025-10-03",Active
SO0000072,SO-202311-00029,"2025-11-25","10005",西安惠农农科科技有限公司,10,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,19,台,58999,"8.4%",54043,1026819,已发货,已确认,项目销售,销售一部,吴磊,"2025-11-28",否,HT-2023-422,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202311-00508,"","2025-11-25",Active
SO0000073,SO-202311-00029,"2025-11-25","10005",西安惠农农科科技有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,10,台,45999,"13.6%",39743,397431,已发货,已确认,项目销售,销售一部,吴磊,"2025-11-28",否,HT-2023-422,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202311-00508,"","2025-11-25",Active
SO0000074,SO-202311-00029,"2025-11-25","10005",西安惠农农科科技有限公司,30,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,3,台,22999,"11.4%",20377,61131,已发货,已确认,项目销售,销售一部,吴磊,"2025-11-28",否,HT-2023-422,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202311-00508,"","2025-11-25",Active
SO0000075,SO-202406-00030,"2025-06-11","10005",西安惠农农科科技有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,3,台,22999,"13.7%",19848,59544,已发货,已确认,项目销售,销售一部,陈静,"2025-07-22",否,HT-2024-269,株洲市种植大户应用项目,西安惠农农科科技有限公司,QT-202406-00030,"","2025-06-11",Active
SO0000076,SO-202406-00030,"2025-06-11","10005",西安惠农农科科技有限公司,20,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,15,台,58999,"6.0%",55459,831886,已发货,已确认,项目销售,销售一部,陈静,"2025-07-06",否,HT-2024-269,株洲市种植大户应用项目,西安惠农农科科技有限公司,QT-202406-00030,"","2025-06-11",Active
SO0000077,SO-202406-00030,"2025-06-11","10005",西安惠农农科科技有限公司,30,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,11,台,45999,"5.5%",43469,478160,已发货,已确认,项目销售,销售一部,陈静,"2025-08-07",否,HT-2024-269,株洲市种植大户应用项目,西安惠农农科科技有限公司,QT-202406-00030,"","2025-06-11",Active
SO0000078,SO-202303-00031,"2025-03-01","10005",西安惠农农科科技有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,11,台,22999,"10.0%",20699,227690,已发货,已确认,项目销售,销售一部,周杰,"2025-04-28",否,HT-2023-189,西安惠农农科科技有限公司设备采购项目,西安惠农农科科技有限公司,QT-202302-00395,"","2025-03-01",Active
