"procurement_id","procurement_number","procurement_date","supplier_id","supplier_code","supplier_name","material_id","material_code","material_name","warehouse_id","warehouse_name","quantity","unit_price","total_amount","currency","tax_rate","payment_terms","logistics_provider","tracking_number","ship_date","estimated_delivery_date","actual_delivery_date","inspection_status","notes","created_date","status","po_number","delivery_batch","total_batches"
PR0000012,GR-202604-0347,"2026-04-02",SUP-011,SUP-011,T-Motor无刷电机有限公司,M0004,ASSY-PWR-STD,标准动力系统总成,WH002,东莞天翼电子材料仓库,1265,3719.03,4704572.95,USD,0.13,月结30天,安能物流,LOG20230408571101,"2026-04-09","2026-04-12","2026-04-14",待验收,"","2025-04-05",Active,PO-202604-0169,"",""
PR0000013,GR-202604-0334,"2026-04-02",SUP-018,SUP-018,比亚迪电池有限公司,M0005,PART-BAT-2S-3000,标准智能电池2S3000mAh,WH003,深圳天翼配件仓库,563,1159.05,652545.15,CNY,0.13,月结45天,申通快递,LOG20230324713299,"2026-04-09","2026-04-12","2026-04-14",待验收,质量合格,"2025-03-21",Active,PO-202604-0167,"",""
PR0000014,GR-202604-0327,"2026-04-02",SUP-018,SUP-018,比亚迪电池有限公司,M0005,PART-BAT-2S-3000,标准智能电池2S3000mAh,WH003,深圳天翼配件仓库,517,1071.17,553794.89,CNY,0.13,月结45天,德邦物流,LOG20230326597288,"2026-04-09","2026-04-12","2026-04-14",待验收,"","2025-03-24",Active,PO-202604-0167,"",""
PR0000015,GR-202604-0033,"2026-04-02",SUP-043,SUP-043,深圳无线通信技术公司,M0006,PART-RC-BASIC,基础遥控器,WH003,深圳天翼配件仓库,2609,3647.52,9516379.68,CNY,0.13,月结30天,百世快递,LOG20221209529674,"2026-04-09","2026-04-12","2026-04-14",已验收,部分延期,"2025-12-07",Active,PO-202604-0107,"",""
PR0000016,GR-202604-0053,"2026-04-02",SUP-043,SUP-043,深圳无线通信技术公司,M0006,PART-RC-BASIC,基础遥控器,WH003,深圳天翼配件仓库,1771,3942.02,6981317.42,CNY,0.13,月结30天,韵达快递,LOG20221207650314,"2026-04-09","2026-04-12","2026-04-14",已验收,按时交付,"2025-12-06",Active,PO-202604-0107,"",""
PR0000017,GR-202604-0237,"2026-04-02",SUP-022,SUP-022,豪威科技（OmniVision）,M0007,PART-CAM-FIX-20MP,"2000万像素固定相机",WH002,东莞天翼电子材料仓库,271,1823.08,494054.68,USD,0.13,月结45天,百世快递,LOG20230209279729,"2026-04-09","2026-04-12","2026-04-14",验收中,"","2025-02-06",Active,PO-202604-0146,"",""
PR0000018,GR-202604-0248,"2026-04-02",SUP-022,SUP-022,豪威科技（OmniVision）,M0007,PART-CAM-FIX-20MP,"2000万像素固定相机",WH002,东莞天翼电子材料仓库,488,1822.64,889448.32,USD,0.13,月结45天,中铁快运,LOG20230212941626,"2026-04-09","2026-04-12","2026-04-14",已验收,"","2025-02-09",Active,PO-202604-0146,"",""
PR0000019,GR-202604-0169,"2026-04-04",SUP-017,SUP-017,宁德时代新能源科技,M0008,PART-BAT-3S-4000,增强智能电池3S4000mAh,WH003,深圳天翼配件仓库,413,786.7,324907.1,USD,0.13,信用证,申通快递,LOG20230130293583,"2026-04-11","2026-04-14","2026-04-16",已验收,"","2025-01-29",Active,PO-202604-0115,"",""
PR0000020,GR-202604-0195,"2026-04-04",SUP-017,SUP-017,宁德时代新能源科技,M0008,PART-BAT-3S-4000,增强智能电池3S4000mAh,WH003,深圳天翼配件仓库,470,663.24,311722.8,USD,0.13,信用证,申通快递,LOG20230205281598,"2026-04-11","2026-04-14","2026-04-16",已验收,"","2025-02-02",Active,PO-202604-0115,"",""
PR0000021,GR-202604-0196,"2026-04-04",SUP-017,SUP-017,宁德时代新能源科技,M0008,PART-BAT-3S-4000,增强智能电池3S4000mAh,WH003,深圳天翼配件仓库,287,676.73,194221.51,USD,0.13,信用证,中铁快运,LOG20230209901845,"2026-04-11","2026-04-14","2026-04-16",验收中,"","2025-02-08",Active,PO-202604-0115,"",""
PR0000022,GR-202604-0098,"2026-04-04",SUP-017,SUP-017,宁德时代新能源科技,M0008,PART-BAT-3S-4000,增强智能电池3S4000mAh,WH003,深圳天翼配件仓库,270,681.51,184007.7,USD,0.13,信用证,顺丰速运,LOG20230129333829,"2026-04-11","2026-04-14","2026-04-16",验收中,"","2025-01-26",Active,PO-202604-0115,"",""
PR0000023,GR-202604-0071,"2026-04-02",SUP-043,SUP-043,深圳无线通信技术公司,M0009,PART-RC-ADV,高级遥控器,WH003,深圳天翼配件仓库,905,3078.15,2785725.75,CNY,0.13,"预付30%,货到付清",中铁快运,LOG20221230787797,"2026-04-09","2026-04-12","2026-04-14",已验收,部分延期,"2025-12-28",Active,PO-202604-0099,"",""
PR0000024,GR-202604-0018,"2026-04-02",SUP-043,SUP-043,深圳无线通信技术公司,M0009,PART-RC-ADV,高级遥控器,WH003,深圳天翼配件仓库,1788,2998.56,5361425.28,CNY,0.13,"预付30%,货到付清",圆通速递,LOG20230102756153,"2026-04-09","2026-04-12","2026-04-14",已验收,"","2025-12-31",Active,PO-202604-0099,"",""
PR0000025,GR-202604-0174,"2026-04-02",SUP-025,SUP-025,东莞碳纤维复合材料厂,M0010,ASSY-BODY-CF-01,碳纤维机身总成,WH002,东莞天翼电子材料仓库,1056,2189.45,2312059.2,USD,0.13,月结60天,德邦物流,LOG20230127620702,"2026-04-09","2026-04-12","2026-04-14",已验收,"","2025-01-26",Active,PO-202604-0133,"",""
PR0000026,GR-202604-0184,"2026-04-02",SUP-025,SUP-025,东莞碳纤维复合材料厂,M0010,ASSY-BODY-CF-01,碳纤维机身总成,WH002,东莞天翼电子材料仓库,1895,1937.64,3671827.8,USD,0.13,月结60天,韵达快递,LOG20230115446143,"2026-04-09","2026-04-12","2026-04-14",待验收,"","2025-01-12",Active,PO-202604-0133,"",""
PR0000027,GR-202604-0205,"2026-04-02",SUP-002,SUP-002,德州仪器（TI）中国代理,M0011,ASSY-FC-ADV,高级飞控总成,WH002,东莞天翼电子材料仓库,2148,1034.02,2221074.96,CNY,0.13,款到发货,顺丰速运,LOG20230214634345,"2026-04-09","2026-04-12","2026-04-14",已验收,"","2025-02-13",Active,PO-202604-0138,"",""
PR0000028,GR-202604-0212,"2026-04-02",SUP-002,SUP-002,德州仪器（TI）中国代理,M0011,ASSY-FC-ADV,高级飞控总成,WH002,东莞天翼电子材料仓库,1477,1082.33,1598601.41,CNY,0.13,款到发货,安能物流,LOG20230215137997,"2026-04-09","2026-04-12","2026-04-14",已验收,"","2025-02-13",Active,PO-202604-0138,"",""
PR0000029,GR-202604-0134,"2026-04-04",SUP-024,SUP-024,深圳云台技术有限公司,M0012,PART-CAM-GIMBAL-1INCH,"1英寸三轴云台相机",WH002,东莞天翼电子材料仓库,303,2337.89,708380.67,CNY,0.13,月结30天,百世快递,LOG20230130433402,"2026-04-11","2026-04-14","2026-04-16",验收中,质量合格,"2025-01-29",Active,PO-202604-0127,"",""
PR0000030,GR-202604-0186,"2026-04-04",SUP-024,SUP-024,深圳云台技术有限公司,M0012,PART-CAM-GIMBAL-1INCH,"1英寸三轴云台相机",WH002,东莞天翼电子材料仓库,299,2529.63,756359.37,CNY,0.13,月结30天,顺丰速运,LOG20230201995030,"2026-04-11","2026-04-14","2026-04-16",已验收,"","2025-01-29",Active,PO-202604-0127,"",""
PR0000031,GR-202604-0142,"2026-04-04",SUP-024,SUP-024,深圳云台技术有限公司,M0012,PART-CAM-GIMBAL-1INCH,"1英寸三轴云台相机",WH002,东莞天翼电子材料仓库,387,2418.75,936056.25,CNY,0.13,月结30天,中铁快运,LOG20230125867941,"2026-04-11","2026-04-14","2026-04-16",已验收,"","2025-01-23",Active,PO-202604-0127,"",""
PR0000032,GR-202604-0214,"2026-04-04",SUP-024,SUP-024,深圳云台技术有限公司,M0012,PART-CAM-GIMBAL-1INCH,"1英寸三轴云台相机",WH002,东莞天翼电子材料仓库,209,2553.15,533608.35,CNY,0.13,月结30天,中铁快运,LOG20230204222923,"2026-04-11","2026-04-14","2026-04-16",待验收,"","2025-02-03",Active,PO-202604-0127,"",""
PR0000033,GR-202604-0005,"2026-04-02",SUP-012,SUP-012,深圳大疆创新动力系统,M0013,ASSY-PWR-EFF,高效动力系统总成,WH002,东莞天翼电子材料仓库,1276,568.95,725980.2,CNY,0.13,月结45天,德邦物流,LOG20221210619533,"2026-04-09","2026-04-12","2026-04-14",验收中,"","2025-12-08",Active,PO-202604-0092,"",""
PR0000034,GR-202604-0007,"2026-04-02",SUP-012,SUP-012,深圳大疆创新动力系统,M0013,ASSY-PWR-EFF,高效动力系统总成,WH002,东莞天翼电子材料仓库,683,559.92,382425.36,CNY,0.13,月结45天,中铁快运,LOG20221212281642,"2026-04-09","2026-04-12","2026-04-14",验收中,"","2025-12-09",Active,PO-202604-0092,"",""
PR0000035,GR-202604-0001,"2026-04-02",SUP-012,SUP-012,深圳大疆创新动力系统,M0013,ASSY-PWR-EFF,高效动力系统总成,WH002,东莞天翼电子材料仓库,838,578.72,484967.36,CNY,0.13,月结45天,申通快递,LOG20221215170553,"2026-04-09","2026-04-12","2026-04-14",已验收,"","2025-12-14",Active,PO-202604-0092,"",""
PR0000036,GR-202604-0030,"2026-04-02",SUP-012,SUP-012,深圳大疆创新动力系统,M0013,ASSY-PWR-EFF,高效动力系统总成,WH002,东莞天翼电子材料仓库,1190,525.95,625880.5,CNY,0.13,月结45天,德邦物流,LOG20221223106276,"2026-04-09","2026-04-12","2026-04-14",已验收,"","2025-12-20",Active,PO-202604-0092,"",""
PR0000037,GR-202604-0076,"2026-04-02",SUP-019,SUP-019,LG化学电池韩国,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH003,深圳天翼配件仓库,377,3479.54,1311786.58,CNY,0.13,月结30天,顺丰速运,LOG20221220516751,"2026-04-09","2026-04-12","2026-04-14",已验收,"","2025-12-17",Active,PO-202604-0102,"",""
PR0000038,GR-202604-0080,"2026-04-02",SUP-019,SUP-019,LG化学电池韩国,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH003,深圳天翼配件仓库,293,3383.74,991435.82,CNY,0.13,月结30天,京东物流,LOG20221216518568,"2026-04-09","2026-04-12","2026-04-14",已验收,"","2025-12-14",Active,PO-202604-0102,"",""
PR0000039,GR-202604-0021,"2026-04-02",SUP-019,SUP-019,LG化学电池韩国,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH003,深圳天翼配件仓库,294,3484.02,1024301.88,CNY,0.13,月结30天,京东物流,LOG20221230218938,"2026-04-09","2026-04-12","2026-04-14",已验收,"","2025-12-29",Active,PO-202604-0102,"",""
PR0000040,GR-202604-0036,"2026-04-02",SUP-019,SUP-019,LG化学电池韩国,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH003,深圳天翼配件仓库,275,3672.73,1010000.75,CNY,0.13,月结30天,中铁快运,LOG20221218298756,"2026-04-09","2026-04-12","2026-04-14",已验收,提前交付,"2025-12-16",Active,PO-202604-0102,"",""
PR0000041,GR-202604-0226,"2026-04-02",SUP-043,SUP-043,深圳无线通信技术公司,M0015,PART-RC-PRO,专业遥控器,WH003,深圳天翼配件仓库,1114,1773.15,1975289.1,USD,0.13,信用证,顺丰速运,LOG20230210378700,"2026-04-09","2026-04-12","2026-04-14",待验收,"","2025-02-08",Active,PO-202604-0144,"",""
PR0000042,GR-202604-0217,"2026-04-02",SUP-043,SUP-043,深圳无线通信技术公司,M0015,PART-RC-PRO,专业遥控器,WH003,深圳天翼配件仓库,2538,1734.94,4403277.72,USD,0.13,信用证,百世快递,LOG20230213631013,"2026-04-09","2026-04-12","2026-04-14",已验收,"","2025-02-10",Active,PO-202604-0144,"",""
PR0000043,GR-202604-0153,"2026-04-02",SUP-035,SUP-035,北京智能视觉科技公司,M0016,PART-AVOID-VISION,视觉避障系统,WH002,东莞天翼电子材料仓库,2014,1328.87,2676344.18,CNY,0.13,月结30天,韵达快递,LOG20230201303730,"2026-04-09","2026-04-12","2026-04-14",验收中,"","2025-01-31",Active,PO-202604-0132,"",""
PR0000044,GR-202604-0185,"2026-04-02",SUP-035,SUP-035,北京智能视觉科技公司,M0016,PART-AVOID-VISION,视觉避障系统,WH002,东莞天翼电子材料仓库,1944,1225.74,2382838.56,CNY,0.13,月结30天,圆通速递,LOG20230126473727,"2026-04-09","2026-04-12","2026-04-14",待验收,"","2025-01-24",Active,PO-202604-0132,"",""
PR0000045,GR-202604-0233,"2026-04-02",SUP-035,SUP-035,北京智能视觉科技公司,M0016,PART-AVOID-VISION,视觉避障系统,WH002,东莞天翼电子材料仓库,533,1235.52,658532.16,CNY,0.13,月结30天,百世快递,LOG20230205275907,"2026-04-09","2026-04-12","2026-04-14",验收中,"","2025-02-03",Active,PO-202604-0132,"",""
PR0000046,GR-202604-0328,"2026-04-04",SUP-021,SUP-021,索尼半导体解决方案,M0017,PART-CAM-ZOOM,变焦相机模组,WH002,东莞天翼电子材料仓库,303,3574.45,1083058.35,CNY,0.13,月结30天,京东物流,LOG20230403829967,"2026-04-11","2026-04-14","2026-04-16",待验收,"","2025-03-31",Active,PO-202604-0163,"",""
PR0000047,GR-202604-0303,"2026-04-04",SUP-021,SUP-021,索尼半导体解决方案,M0017,PART-CAM-ZOOM,变焦相机模组,WH002,东莞天翼电子材料仓库,214,3282.72,702502.08,CNY,0.13,月结30天,中通快递,LOG20230330457590,"2026-04-11","2026-04-14","2026-04-16",已验收,"","2025-03-28",Active,PO-202604-0163,"",""
PR0000048,GR-202604-0323,"2026-04-04",SUP-021,SUP-021,索尼半导体解决方案,M0017,PART-CAM-ZOOM,变焦相机模组,WH002,东莞天翼电子材料仓库,191,3225.12,615997.92,CNY,0.13,月结30天,安能物流,LOG20230401330515,"2026-04-11","2026-04-14","2026-04-16",已验收,"","2025-03-31",Active,PO-202604-0163,"",""
PR0000049,GR-202604-0354,"2026-04-04",SUP-021,SUP-021,索尼半导体解决方案,M0017,PART-CAM-ZOOM,变焦相机模组,WH002,东莞天翼电子材料仓库,241,3583.58,863642.78,CNY,0.13,月结30天,圆通速递,LOG20230410173142,"2026-04-11","2026-04-14","2026-04-16",已验收,"","2025-04-09",Active,PO-202604-0163,"",""
PR0000050,GR-202604-0042,"2026-04-03",SUP-035,SUP-035,北京智能视觉科技公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,WH002,东莞天翼电子材料仓库,574,2947.15,1691664.1,CNY,0.13,款到发货,中通快递,LOG20221214986689,"2026-04-10","2026-04-13","2026-04-15",验收中,"","2025-12-12",Active,PO-202604-0105,"",""
PR0000051,GR-202604-0031,"2026-04-03",SUP-035,SUP-035,北京智能视觉科技公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,WH002,东莞天翼电子材料仓库,841,2759.92,2321092.72,CNY,0.13,款到发货,顺丰速运,LOG20221219466906,"2026-04-10","2026-04-13","2026-04-15",已验收,"","2025-12-18",Active,PO-202604-0105,"",""
PR0000052,GR-202604-0051,"2026-04-03",SUP-035,SUP-035,北京智能视觉科技公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,WH002,东莞天翼电子材料仓库,562,2591.9,1456647.8,CNY,0.13,款到发货,百世快递,LOG20221215478789,"2026-04-10","2026-04-13","2026-04-15",已验收,部分延期,"2025-12-12",Active,PO-202604-0105,"",""
PR0000053,GR-202604-0048,"2026-04-03",SUP-035,SUP-035,北京智能视觉科技公司,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,WH002,东莞天翼电子材料仓库,663,2927.96,1941237.48,CNY,0.13,款到发货,中通快递,LOG20221216397585,"2026-04-10","2026-04-13","2026-04-15",已验收,"","2025-12-15",Active,PO-202604-0105,"",""
PR0000057,GR-202604-0283,"2026-04-02",SUP-026,SUP-026,中航复合材料有限公司,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH002,东莞天翼电子材料仓库,1039,2495.95,2593292.05,CNY,0.13,月结30天,德邦物流,LOG20230318748579,"2026-04-09","2026-04-12","2026-04-14",已验收,历史到货-原采购订单PO-202604-0059超量，已解除采购订单关联,"2025-03-15",Active,"","",""
PR0000058,GR-202604-0271,"2026-04-02",SUP-026,SUP-026,中航复合材料有限公司,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH002,东莞天翼电子材料仓库,477,2457.6,1172275.2,CNY,0.13,月结30天,百世快递,LOG20230320356435,"2026-04-09","2026-04-12","2026-04-14",已验收,历史到货-原采购订单PO-202604-0059超量，已解除采购订单关联,"2025-03-18",Active,"","",""
PR0000059,GR-202604-0278,"2026-04-02",SUP-026,SUP-026,中航复合材料有限公司,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH002,东莞天翼电子材料仓库,836,2188.07,1829226.52,CNY,0.13,月结30天,德邦物流,LOG20230323451869,"2026-04-09","2026-04-12","2026-04-14",已验收,历史到货-原采购订单PO-202604-0059超量，已解除采购订单关联,"2025-03-20",Active,"","",""
PR0000060,GR-202604-0262,"2026-04-02",SUP-026,SUP-026,中航复合材料有限公司,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH002,东莞天翼电子材料仓库,664,2090.91,1388364.24,CNY,0.13,月结30天,申通快递,LOG20230319581359,"2026-04-09","2026-04-12","2026-04-14",已验收,历史到货-原采购订单PO-202604-0059超量，已解除采购订单关联,"2025-03-18",Active,"","",""
PR0000061,GR-202604-0016,"2026-04-04",SUP-002,SUP-002,德州仪器（TI）中国代理,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH002,东莞天翼电子材料仓库,1849,3651.96,6752474.04,CNY,0.13,月结30天,京东物流,LOG20221212544456,"2026-04-11","2026-04-14","2026-04-16",验收中,提前交付;历史到货-原采购订单PO-202604-0027超量，已解除采购订单关联,"2025-12-09",Active,"","",""
PR0000062,GR-202604-0029,"2026-04-04",SUP-002,SUP-002,德州仪器（TI）中国代理,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH002,东莞天翼电子材料仓库,2554,3248.95,8297818.3,CNY,0.13,月结30天,申通快递,LOG20221222320725,"2026-04-11","2026-04-14","2026-04-16",待验收,历史到货-原采购订单PO-202604-0027超量，已解除采购订单关联,"2025-12-19",Active,"","",""
PR0000063,GR-202604-0069,"2026-04-02",SUP-021,SUP-021,索尼半导体解决方案,M0022,PART-CAM-FPV,FPV图传相机,WH002,东莞天翼电子材料仓库,414,900.1,372641.4,USD,0.13,月结45天,圆通速递,LOG20221222940611,"2026-04-09","2026-04-12","2026-04-14",验收中,历史到货-原采购订单PO-202604-0028超量，已解除采购订单关联,"2025-12-21",Active,"","",""
PR0000064,GR-202604-0006,"2026-04-02",SUP-021,SUP-021,索尼半导体解决方案,M0022,PART-CAM-FPV,FPV图传相机,WH002,东莞天翼电子材料仓库,770,826.8,636636.0,USD,0.13,月结45天,韵达快递,LOG20221227688691,"2026-04-09","2026-04-12","2026-04-14",验收中,历史到货-原采购订单PO-202604-0028超量，已解除采购订单关联,"2025-12-26",Active,"","",""
PR0000065,GR-202604-0026,"2026-04-02",SUP-012,SUP-012,深圳大疆创新动力系统,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,WH002,东莞天翼电子材料仓库,2710,3074.56,8332057.6,CNY,0.13,月结30天,百世快递,LOG20221221538258,"2026-04-09","2026-04-12","2026-04-14",已验收,历史到货-原采购订单PO-202604-0061超量，已解除采购订单关联,"2025-12-18",Active,"","",""
PR0000066,GR-202604-0067,"2026-04-02",SUP-012,SUP-012,深圳大疆创新动力系统,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,WH002,东莞天翼电子材料仓库,1606,3084.81,4954204.86,CNY,0.13,月结30天,京东物流,LOG20221210226546,"2026-04-09","2026-04-12","2026-04-14",验收中,历史到货-原采购订单PO-202604-0061超量，已解除采购订单关联,"2025-12-09",Active,"","",""
PR0000067,GR-202604-0200,"2026-04-04",SUP-020,SUP-020,格氏ace电池科技,M0024,ASSY-BAT-DUAL,双电池冗余系统,WH003,深圳天翼配件仓库,677,3147.64,2130952.28,USD,0.13,信用证,中通快递,LOG20230209494819,"2026-04-11","2026-04-14","2026-04-16",验收中,按时交付;历史到货-原采购订单PO-202604-0062超量，已解除采购订单关联,"2025-02-06",Active,"","",""
PR0000068,GR-202604-0086,"2026-04-04",SUP-020,SUP-020,格氏ace电池科技,M0024,ASSY-BAT-DUAL,双电池冗余系统,WH003,深圳天翼配件仓库,728,2771.6,2017724.8,USD,0.13,信用证,申通快递,LOG20230128704040,"2026-04-11","2026-04-14","2026-04-16",待验收,历史到货-原采购订单PO-202604-0062超量，已解除采购订单关联,"2025-01-27",Active,"","",""
PR0000069,GR-202604-0210,"2026-04-04",SUP-020,SUP-020,格氏ace电池科技,M0024,ASSY-BAT-DUAL,双电池冗余系统,WH003,深圳天翼配件仓库,1241,2793.48,3466708.68,USD,0.13,信用证,德邦物流,LOG20230211756016,"2026-04-11","2026-04-14","2026-04-16",验收中,部分延期;历史到货-原采购订单PO-202604-0062超量，已解除采购订单关联,"2025-02-08",Active,"","",""
PR0000070,GR-202604-0240,"2026-04-04",SUP-020,SUP-020,格氏ace电池科技,M0024,ASSY-BAT-DUAL,双电池冗余系统,WH003,深圳天翼配件仓库,1521,2746.54,4177487.34,USD,0.13,信用证,圆通速递,LOG20230209288165,"2026-04-11","2026-04-14","2026-04-16",已验收,历史到货-原采购订单PO-202604-0062超量，已解除采购订单关联,"2025-02-06",Active,"","",""
PR0000071,GR-202604-0128,"2026-04-04",SUP-043,SUP-043,深圳无线通信技术公司,M0025,PART-RC-IND,工业遥控器,WH003,深圳天翼配件仓库,751,862.69,647880.19,CNY,0.13,月结30天,中通快递,LOG20230105909873,"2026-04-11","2026-04-14","2026-04-16",已验收,提前交付;历史到货-原采购订单PO-202604-0033超量，已解除采购订单关联,"2025-01-03",Active,"","",""
PR0000072,GR-202604-0072,"2026-04-04",SUP-043,SUP-043,深圳无线通信技术公司,M0025,PART-RC-IND,工业遥控器,WH003,深圳天翼配件仓库,959,736.15,705967.85,CNY,0.13,月结30天,百世快递,LOG20230102790667,"2026-04-11","2026-04-14","2026-04-16",已验收,历史到货-原采购订单PO-202604-0033超量，已解除采购订单关联,"2025-12-31",Active,"","",""
PR0000073,GR-202604-0068,"2026-04-04",SUP-043,SUP-043,深圳无线通信技术公司,M0025,PART-RC-IND,工业遥控器,WH003,深圳天翼配件仓库,1010,870.19,878891.9,CNY,0.13,月结30天,京东物流,LOG20221231396365,"2026-04-11","2026-04-14","2026-04-16",已验收,历史到货-原采购订单PO-202604-0033超量，已解除采购订单关联,"2025-12-29",Active,"","",""
PR0000074,GR-202604-0106,"2026-04-02",SUP-038,SUP-038,深圳农业喷洒系统公司,M0026,PART-SPRAYER-16L,"16升智能喷洒系统",WH003,深圳天翼配件仓库,2382,5033.28,11989272.96,USD,0.13,月结45天,安能物流,LOG20230202368811,"2026-04-09","2026-04-12","2026-04-14",验收中,历史到货-原采购订单PO-202604-0064超量，已解除采购订单关联,"2025-01-31",Active,"","",""
PR0000075,GR-202604-0113,"2026-04-02",SUP-038,SUP-038,深圳农业喷洒系统公司,M0026,PART-SPRAYER-16L,"16升智能喷洒系统",WH003,深圳天翼配件仓库,2020,4425.88,8940277.6,USD,0.13,月结45天,顺丰速运,LOG20230121791447,"2026-04-09","2026-04-12","2026-04-14",已验收,历史到货-原采购订单PO-202604-0064超量，已解除采购订单关联,"2025-01-19",Active,"","",""
