"inventory_id","snapshot_month","item_id","item_code","warehouse_id","batch_number","quantity","reserved_inventory_qty","earliest_storage_date","max_storage_age","created_date","status"
INVBAL000143,"2026-05",M0075,PART-4G-MODULE,WH002,GR-00646,570,74,"5/17/2026",0,"5/17/2026",Active
INVBAL000144,"2026-04",M0018,PART-AVOID-ENHANCED,WH002,MAT-202604-00088,841,74,"4/15/2026",0,"4/15/2026",Active
INVBAL000145,"2026-04",M0018,PART-AVOID-ENHANCED,WH002,MAT-202604-00099,663,85,"4/15/2026",0,"4/15/2026",Active
INVBAL000146,"2026-04",M0018,PART-AVOID-ENHANCED,WH002,MAT-202604-00102,562,95,"4/15/2026",0,"4/15/2026",Active
INVBAL000147,"2026-04",M0018,PART-AVOID-ENHANCED,WH002,GR-00496,574,64,"4/15/2026",0,"4/15/2026",Active
INVBAL000148,"2026-04",M0016,PART-AVOID-VISION,WH002,GR-00542,2014,98,"4/14/2026",0,"4/14/2026",Active
INVBAL000149,"2026-04",M0016,PART-AVOID-VISION,WH002,GR-00553,1944,50,"4/14/2026",0,"4/14/2026",Active
INVBAL000150,"2026-04",M0016,PART-AVOID-VISION,WH002,GR-00575,533,55,"4/14/2026",0,"4/14/2026",Active
INVBAL000151,"2026-04",M0068,PART-BARO-DPS310,WH002,MAT-202604-00206,1554,63,"4/14/2026",0,"4/14/2026",Active
INVBAL000152,"2026-04",M0068,PART-BARO-DPS310,WH002,GR-00530,965,80,"4/14/2026",0,"4/14/2026",Active
INVBAL000153,"2026-04",M0062,PART-BARO-MS5611,WH002,MAT-202604-00075,809,65,"4/15/2026",0,"4/15/2026",Active
INVBAL000154,"2026-04",M0062,PART-BARO-MS5611,WH002,MAT-202604-00078,1126,87,"4/15/2026",0,"4/15/2026",Active
INVBAL000155,"2026-04",M0062,PART-BARO-MS5611,WH002,MAT-202604-00148,813,83,"4/15/2026",0,"4/15/2026",Active
INVBAL000156,"2026-04",M0062,PART-BARO-MS5611,WH002,MAT-202604-00166,1114,81,"4/15/2026",0,"4/15/2026",Active
INVBAL000157,"2026-04",M0034,PART-BAT-12S-16000,WH002,MAT-202604-00303,260,71,"4/17/2026",0,"4/17/2026",Active
INVBAL000158,"2026-04",M0034,PART-BAT-12S-16000,WH002,GR-00627,260,93,"4/17/2026",0,"4/17/2026",Active
INVBAL000159,"2026-04",M0034,PART-BAT-12S-16000,WH003,MAT-202604-00164,250,65,"4/16/2026",0,"4/16/2026",Active
INVBAL000160,"2026-04",M0034,PART-BAT-12S-16000,WH003,MAT-202604-00175,540,99,"4/16/2026",0,"4/16/2026",Active
INVBAL000161,"2026-04",M0034,PART-BAT-12S-16000,WH003,GR-00544,379,73,"4/16/2026",0,"4/16/2026",Active
INVBAL000162,"2026-05",M0040,PART-BAT-12S-22000,WH002,GR-00645,1200,57,"5/20/2026",0,"5/20/2026",Active
INVBAL000163,"2026-04",M0040,PART-BAT-12S-22000,WH003,MAT-202604-00169,569,96,"4/16/2026",0,"4/16/2026",Active
INVBAL000164,"2026-04",M0040,PART-BAT-12S-22000,WH003,MAT-202604-00172,222,51,"4/16/2026",0,"4/16/2026",Active
INVBAL000165,"2026-04",M0040,PART-BAT-12S-22000,WH003,GR-00529,182,74,"4/16/2026",0,"4/16/2026",Active
INVBAL000166,"2026-04",M0040,PART-BAT-12S-22000,WH003,GR-00543,214,60,"4/16/2026",0,"4/16/2026",Active
INVBAL000167,"2026-04",M0005,PART-BAT-2S-3000,WH003,GR-00603,517,77,"4/14/2026",0,"4/14/2026",Active
INVBAL000168,"2026-04",M0005,PART-BAT-2S-3000,WH003,GR-00609,563,74,"4/14/2026",0,"4/14/2026",Active
INVBAL000169,"2026-04",M0008,PART-BAT-3S-4000,WH003,MAT-202604-00178,413,67,"4/16/2026",0,"4/16/2026",Active
INVBAL000170,"2026-04",M0008,PART-BAT-3S-4000,WH003,MAT-202604-00200,470,76,"4/16/2026",0,"4/16/2026",Active
INVBAL000171,"2026-04",M0008,PART-BAT-3S-4000,WH003,GR-00521,270,54,"4/16/2026",0,"4/16/2026",Active
INVBAL000172,"2026-04",M0008,PART-BAT-3S-4000,WH003,GR-00557,287,57,"4/16/2026",0,"4/16/2026",Active
INVBAL000173,"2026-04",M0014,PART-BAT-4S-5200,WH003,MAT-202604-00081,294,64,"4/14/2026",0,"4/14/2026",Active
INVBAL000174,"2026-04",M0014,PART-BAT-4S-5200,WH003,MAT-202604-00092,275,53,"4/14/2026",0,"4/14/2026",Active
INVBAL000175,"2026-04",M0014,PART-BAT-4S-5200,WH003,MAT-202604-00117,377,75,"4/14/2026",0,"4/14/2026",Active
INVBAL000176,"2026-04",M0014,PART-BAT-4S-5200,WH003,MAT-202604-00119,293,73,"4/14/2026",0,"4/14/2026",Active
INVBAL000177,"2026-04",M0089,PART-BAT-6S-10000,WH002,MAT-202604-00317,380,92,"4/10/2026",0,"4/10/2026",Active
INVBAL000178,"2026-04",M0089,PART-BAT-6S-10000,WH002,MAT-202604-00329,190,80,"4/13/2026",0,"4/13/2026",Active
INVBAL000179,"2026-04",M0089,PART-BAT-6S-10000,WH003,MAT-202604-00107,789,93,"4/15/2026",0,"4/15/2026",Active
INVBAL000180,"2026-04",M0089,PART-BAT-6S-10000,WH003,GR-00487,492,78,"4/15/2026",0,"4/15/2026",Active
INVBAL000181,"2026-04",M0080,PART-CABLE-ESC,WH004,MAT-202604-00196,890,52,"4/14/2026",0,"4/14/2026",Active
INVBAL000182,"2026-04",M0080,PART-CABLE-ESC,WH004,GR-00577,1788,67,"4/14/2026",0,"4/14/2026",Active
INVBAL000183,"2026-04",M0088,PART-CABLE-ESC-HD,WH002,GR-00653,2462,100,"4/14/2026",0,"4/14/2026",Active
INVBAL000184,"2026-05",M0088,PART-CABLE-ESC-HD,WH002,GR-00662,874,90,"5/13/2026",0,"5/13/2026",Active
INVBAL000185,"2026-05",M0088,PART-CABLE-ESC-HD,WH002,GR-00657,3420,78,"5/20/2026",0,"5/20/2026",Active
INVBAL000186,"2026-04",M0088,PART-CABLE-ESC-HD,WH004,GR-00495,910,79,"4/14/2026",0,"4/14/2026",Active
INVBAL000187,"2026-04",M0084,PART-CABLE-ESC-SIL,WH004,MAT-202604-00082,1659,74,"4/14/2026",0,"4/14/2026",Active
INVBAL000188,"2026-04",M0084,PART-CABLE-ESC-SIL,WH004,MAT-202604-00097,757,75,"4/14/2026",0,"4/14/2026",Active
INVBAL000189,"2026-04",M0003,PART-CAM-FIX-12MP,WH002,MAT-202604-00173,229,60,"4/16/2026",0,"4/16/2026",Active
INVBAL000190,"2026-04",M0003,PART-CAM-FIX-12MP,WH002,GR-00509,262,60,"4/16/2026",0,"4/16/2026",Active
INVBAL000191,"2026-04",M0003,PART-CAM-FIX-12MP,WH002,GR-00514,330,86,"4/16/2026",0,"4/16/2026",Active
INVBAL000192,"2026-04",M0007,PART-CAM-FIX-20MP,WH002,MAT-202604-00229,488,55,"4/14/2026",0,"4/14/2026",Active
INVBAL000193,"2026-04",M0007,PART-CAM-FIX-20MP,WH002,GR-00578,271,78,"4/14/2026",0,"4/14/2026",Active
INVBAL000194,"2026-04",M0022,PART-CAM-FPV,WH002,GR-00620,260,93,"4/8/2026",0,"4/8/2026",Active
INVBAL000195,"2026-04",M0022,PART-CAM-FPV,WH002,GR-00484,770,74,"4/14/2026",0,"4/14/2026",Active
INVBAL000196,"2026-04",M0022,PART-CAM-FPV,WH002,GR-00507,414,92,"4/14/2026",0,"4/14/2026",Active
INVBAL000197,"2026-05",M0022,PART-CAM-FPV,WH002,MAT-202605-00318,600,64,"5/8/2026",0,"5/8/2026",Active
INVBAL000198,"2026-05",M0022,PART-CAM-FPV,WH002,GR-00622,600,76,"5/8/2026",0,"5/8/2026",Active
